;2023/24;2024/25;2025/26
KW 27;81830000000000;431513000000000;74606400000000
KW 28;66746900000000;431914000000000;
KW 29;127222000000000;544360000000000;149667000000000
KW 30;230876000000000;527160000000000;
KW 31;308183000000000;528996000000000;250687000000000
KW 32;509326000000000;400582000000000;
KW 33;633711000000000;648020000000000;242837000000000
KW 34;659773000000000;436556000000000;
KW 35;415952000000000;384509000000000;383574000000000
KW 36;366251000000000;523242000000000;
KW 37;497152000000000;675672000000000;524312000000000
KW 38;433482000000000;828102000000000;536150000000000
KW 39;557800000000000;1014050000000000;412912000000000
KW 40;728351000000000;1058140000000000;380355000000000
KW 41;970434000000000;994821000000000;377932000000000
KW 42;943651000000000;752634000000000;
KW 43;637319000000000;533691000000000;
KW 44;1206290000000000;354870000000000;
KW 45;1775260000000000;158161000000000;
KW 46;856386000000000;153616000000000;
KW 47;2688890000000000;278110000000000;
KW 48;3881510000000000;299495000000000;
KW 49;3490000000000000;186610000000000;
KW 50;3100000000000000;162200000000000;
KW 51;2120000000000000;201000000000000;
KW 52;1130000000000000;251000000000000;
KW 1;789171000000000;199326000000000;
KW 2;447135000000000;106139000000000;
KW 3;254325000000000;79445300000000;
KW 4;255000000000000;108000000000000;
KW 5;147760000000000;92745600000000;
KW 6;123397000000000;87991500000000;
KW 7;46490900000000;51862900000000;
KW 8;82358400000000;43777700000000;
KW 9;27793400000000;40826600000000;
KW 10;55014500000000;51261300000000;
KW 11;42064000000000;29799300000000;
KW 12;71237700000000;31115900000000;
KW 13;63310900000000;50616700000000;
KW 14;72594200000000;70117500000000;
KW 15;59676000000000;78476200000000;
KW 16;83957800000000;69242700000000;
KW 17;150679000000000;81794500000000;
KW 18;77403700000000;117962000000000;
KW 19;90281200000000;134836000000000;
KW 20;186508000000000;151982000000000;
KW 21;110348000000000;131869000000000;
KW 22;125903000000000;;
KW 23;264472000000000;130093000000000;
KW 24;284252000000000;;
KW 25;304032000000000;128318000000000;
KW 26;532110000000000;128318000000000;377932000000000
