;2023/24;2024/25;2025/26
KW 27;1473337552632,791;;
KW 28;682059025044,8304;1071918385511,095;
KW 29;788271346086,7384;;3043765927512,9077
KW 30;2161635635987,166;0;
KW 31;4687514954685,418;;
KW 32;387564450711,58716;961536095202,6705;
KW 33;1175888002578,979;;2487798828087,2666
KW 34;3020085999239,431;0;
KW 35;1496702540807,7708;;
KW 36;3262010833784,011;2170735981590,202;
KW 37;1448381501956,379;;2596443033634,8247
KW 38;770955473747,5736;0;
KW 39;963623136685,6758;;2345219443445,285
KW 40;802367466948,5889;1305003863423,7598;1231781400295,4956
KW 41;1443710770782,8809;;5667487476567,011
KW 42;1069113133588,257;2796915448367,395;1103697004503,1074
KW 43;1558856010380,072;1329093074767,7905;4469162428346,911
KW 44;1674236340837,063;0;0
KW 45;1789616671294,0537;0;5725311695091,701
KW 46;6542315621371,948;0;1107810499034,6272
KW 47;13618758202733,506;4499615736403,672;2395402893061,5317
KW 48;28638111029254,42;0;3453610629754,412
KW 49;40645529246393,9;9154330058976,643;81426954050087,39
KW 50;52652947463533,375;10158145126488,338;80832598395971,3
KW 51;67345947777939,14;43600234921546,27;70008953333365,57
KW 52;82038948092344,9;34174996116038,434;183185218423938,47
KW 1;94756154655229,73;101861593495636,23;77238212420462,75
KW 2;107473361218114,56;54644818558407,56;53358981658623,53
KW 3;113401000000000;116186964326867,19;44179328456686,92
KW 4;164299986592096,1;132370901452166,22;16131697872166,676
KW 5;98811271979560,89;158244340231054,56;
KW 6;57447795087339,766;134639593199999,98;
KW 7;37303502432993,15;110732431168255,22;
KW 8;31518293994218,293;170333961947788,84;
KW 9;9935240284395,238;118604045621516,36;
KW 10;9195727811158,533;80209944611947;
KW 11;15117951466784,49;37021523960894,445;
KW 12;21449269520528,734;18827237971590,94;
KW 13;9585096714355,055;14048503407795,47;
KW 14;11591936231941,705;9269768844000;
KW 15;6573688971972,279;10089801610255,242;
KW 16;7575323708069,1875;5228747054307,691;
KW 17;8727117562152,99;0;
KW 18;2312220982310,12;2651692123747,5283;
KW 19;2321821497177,0093;1108376687954,8738;
KW 20;3761381637886,6816;0;
KW 21;3998541376893,8843;2306749690768,759;
KW 22;912665699902,1349;;
KW 23;639117635537,2452;;
KW 24;773835548537,8534;;
KW 25;908553461538,4615;0;
KW 26;0;0;16131697872166,676
