;2022/23;2023/24;2024/25
KW 27;;1473337552632,791;
KW 28;;682059025044,8304;1071918385511,095
KW 29;;788271346086,7384;
KW 30;;2161635635987,166;0
KW 31;;4687514954685,418;
KW 32;;387564450711,58716;961536095202,6705
KW 33;;1175888002578,979;
KW 34;;3020085999239,431;0
KW 35;;1496702540807,7708;
KW 36;;3262010833784,011;2170735981590,202
KW 37;;1448381501956,379;
KW 38;;770955473747,5736;
KW 39;1918660450670,4846;963623136685,6758;
KW 40;1690702900065,996;802367466948,5889;
KW 41;2545375571312,8325;1443710770782,8809;
KW 42;2884203122641,5225;1069113133588,257;
KW 43;3658386497722,9565;1558856010380,072;
KW 44;4591499900754,802;1674236340837,063;
KW 45;9859460955138,285;1789616671294,0537;
KW 46;14711112044348,053;6542315621371,948;
KW 47;34096645074211,45;13618758202733,506;
KW 48;60723570570074,95;28638111029254,42;
KW 49;106710973917598,06;40645529246393,9;
KW 50;99952138438139,9;52652947463533,375;
KW 51;61232893665691,41;67345947777939,14;
KW 52;27543095673049,832;82038948092344,9;
KW 1;12842609163665,623;94756154655229,73;
KW 2;10997777943484,385;107473361218114,56;
KW 3;9152946723303,146;113401000000000;
KW 4;11735321147253,033;164299986592096,1;
KW 5;15030751791540,36;98811271979560,89;
KW 6;21433979305662,06;57447795087339,766;
KW 7;30031797770975,27;37303502432993,15;
KW 8;24754840103238,73;31518293994218,293;
KW 9;16109117675731,656;9935240284395,238;
KW 10;22168065267376,89;9195727811158,533;
KW 11;23479368238761,7;15117951466784,49;
KW 12;14071181722617,29;21449269520528,734;
KW 13;17690339335916,89;9585096714355,055;
KW 14;9006534880998,297;11591936231941,705;
KW 15;6820244554964,686;6573688971972,279;
KW 16;4063796182754,682;7575323708069,1875;
KW 17;2163940817253,3125;8727117562152,99;
KW 18;1864885416973,4644;2312220982310,12;
KW 19;1737786884866,647;2321821497177,0093;
KW 20;1610688352759,8298;3761381637886,6816;
KW 21;729428468773,3427;3998541376893,8843;
KW 22;1342126423507,6326;912665699902,1349;
KW 23;1310536826922,3962;639117635537,2452;
KW 24;2995142590393,9927;773835548537,8534;
KW 25;2164684795767,8503;908553461538,4615;
KW 26;4735720934319,21;0;2170735981590,202
