;2023/24;2024/25;2025/26
KW 27;3225700000000;;
KW 28;1324260000000;497676000000;
KW 29;2262440000000;;914409000000
KW 30;3591890000000;913748000000;
KW 31;4352690000000;;
KW 32;1235960000000;892855000000;
KW 33;2855730000000;;1374440000000
KW 34;2509560000000;1956820000000;
KW 35;1653250000000;;
KW 36;6901790000000;0;
KW 37;11783000000000;;0
KW 38;5428810000000;3877070000000;
KW 39;1711970000000;;0
KW 40;3969350000000;3745530000000;12291000000000
KW 41;2165570000000;;4708700000000
KW 42;1153340000000;1242110000000;
KW 43;2116790000000;2580510000000;
KW 44;2439140000000;579650000000;
KW 45;2761500000000;1147870000000;
KW 46;4337560000000;2174880000000;
KW 47;11687400000000;1021340000000;
KW 48;40775000000000;3187100000000;
KW 49;36200000000000;3175990000000;
KW 50;31700000000000;5271140000000;
KW 51;38300000000000;12800000000000;
KW 52;44800000000000;13200000000000;
KW 1;58385700000000;25002000000000;
KW 2;71942200000000;20753800000000;
KW 3;94200000000000;17600000000000;
KW 4;121254000000000;26174000000000;
KW 5;76397300000000;26574500000000;
KW 6;96079400000000;20240000000000;
KW 7;37374600000000;40157900000000;
KW 8;86786500000000;36306700000000;
KW 9;29335600000000;29294400000000;
KW 10;26998000000000;42869500000000;
KW 11;28130200000000;24868800000000;
KW 12;15573500000000;17481800000000;
KW 13;9426580000000;19997000000000;
KW 14;15462000000000;22512300000000;
KW 15;11036300000000;9369100000000;
KW 16;12551300000000;12521500000000;
KW 17;8103750000000;6597490000000;
KW 18;1622220000000;2462290000000;
KW 19;348761000000;3181190000000;
KW 20;2083370000000;1270880000000;
KW 21;0;1583200000000;
KW 22;810629000000;;
KW 23;1238390000000;;
KW 24;1041020000000;;
KW 25;843657000000;980309000000;
KW 26;0;980309000000;4708700000000
