group;week;zscore
0to14;2016-50;1.82
0to14;2016-51;1.82
0to14;2016-52;2.67
0to14;2017-01;0.77
0to14;2017-02;1.38
0to14;2017-03;-0.16
0to14;2017-04;1.35
0to14;2017-05;1.75
0to14;2017-06;0.81
0to14;2017-07;0.07
0to14;2017-08;0.84
0to14;2017-09;0.68
0to14;2017-10;2.02
0to14;2017-11;0.14
0to14;2017-12;-0.66
0to14;2017-13;-0.41
0to14;2017-14;-0.07
0to14;2017-15;1.71
0to14;2017-16;0.52
0to14;2017-17;1.45
0to14;2017-18;1.92
0to14;2017-19;-1.5
0to14;2017-20;0.11
0to14;2017-21;-0.85
0to14;2017-22;-0.09
0to14;2017-23;1.62
0to14;2017-24;2.57
0to14;2017-25;-0.97
0to14;2017-26;1.26
0to14;2017-27;1.59
0to14;2017-28;-0.28
0to14;2017-29;1.11
0to14;2017-30;-0.03
0to14;2017-31;-0.16
0to14;2017-32;-0.39
0to14;2017-33;0.81
0to14;2017-34;-1.47
0to14;2017-35;0.63
0to14;2017-36;-1.62
0to14;2017-37;-0.53
0to14;2017-38;0.35
0to14;2017-39;-0.44
0to14;2017-40;0.58
0to14;2017-41;0.06
0to14;2017-42;0.06
0to14;2017-43;0.69
0to14;2017-44;-1.69
0to14;2017-45;-0.94
0to14;2017-46;1.13
0to14;2017-47;2.23
0to14;2017-48;-1.14
0to14;2017-49;0.65
0to14;2017-50;1.41
0to14;2017-51;0.29
0to14;2017-52;2.68
0to14;2018-01;0.33
0to14;2018-02;1.49
0to14;2018-03;-0.85
0to14;2018-04;-0.47
0to14;2018-05;-0.37
0to14;2018-06;0.5
0to14;2018-07;0.29
0to14;2018-08;-0.56
0to14;2018-09;1.09
0to14;2018-10;0.84
0to14;2018-11;0.5
0to14;2018-12;-0.22
0to14;2018-13;1.93
0to14;2018-14;0.15
0to14;2018-15;0.12
0to14;2018-16;1.33
0to14;2018-17;-1.05
0to14;2018-18;-1.32
0to14;2018-19;-0.73
0to14;2018-20;-0.01
0to14;2018-21;-0.32
0to14;2018-22;-1.49
0to14;2018-23;1.39
0to14;2018-24;-0.03
0to14;2018-25;-0.3
0to14;2018-26;0
0to14;2018-27;1.76
0to14;2018-28;0.99
0to14;2018-29;0.72
0to14;2018-30;1.74
0to14;2018-31;0.23
0to14;2018-32;1.61
0to14;2018-33;-0.75
0to14;2018-34;0.84
0to14;2018-35;-2.49
0to14;2018-36;-1.86
0to14;2018-37;1.62
0to14;2018-38;2.48
0to14;2018-39;-1.23
0to14;2018-40;0.23
0to14;2018-41;1.74
0to14;2018-42;1.37
0to14;2018-43;-1.35
0to14;2018-44;-0.92
0to14;2018-45;1.84
0to14;2018-46;1.11
0to14;2018-47;1.24
0to14;2018-48;0.6
0to14;2018-49;0.86
