group;week;zscore
Total;2017-44;-1.78
Total;2017-45;-1.03
Total;2017-46;1.16
Total;2017-47;1.43
Total;2017-48;1.27
Total;2017-49;4.43
Total;2017-50;6.88
Total;2017-51;7.79
Total;2017-52;11.31
Total;2018-01;15.94
Total;2018-02;13.07
Total;2018-03;12.5
Total;2018-04;9.57
Total;2018-05;8.79
Total;2018-06;9.88
Total;2018-07;13.32
Total;2018-08;15.72
Total;2018-09;22.9
Total;2018-10;24.76
Total;2018-11;17.53
Total;2018-12;13.15
Total;2018-13;9.95
Total;2018-14;7.53
Total;2018-15;4.91
Total;2018-16;1.45
Total;2018-17;-2.5
Total;2018-18;-2.77
Total;2018-19;-2.13
Total;2018-20;-2.9
Total;2018-21;-1.03
Total;2018-22;0.39
Total;2018-23;-1.16
Total;2018-24;-3.13
Total;2018-25;-0.7
Total;2018-26;2.67
Total;2018-27;3.32
Total;2018-28;0.54
Total;2018-29;3.19
Total;2018-30;7.31
Total;2018-31;11.47
Total;2018-32;7.65
Total;2018-33;0.81
Total;2018-34;0.64
Total;2018-35;-1.61
Total;2018-36;-0.66
Total;2018-37;-1.64
Total;2018-38;-0.17
Total;2018-39;-2.21
Total;2018-40;0.27
Total;2018-41;1.37
Total;2018-42;-2.87
Total;2018-43;-2.91
Total;2018-44;-0.42
Total;2018-45;0.21
Total;2018-46;-2.82
Total;2018-47;-1.68
Total;2018-48;-0.35
Total;2018-49;0.02
Total;2018-50;-0.69
Total;2018-51;2.44
Total;2018-52;1.23
Total;2019-01;5.62
Total;2019-02;9.11
Total;2019-03;8.85
Total;2019-04;9.39
Total;2019-05;10.28
Total;2019-06;10.64
Total;2019-07;8.75
Total;2019-08;7.65
Total;2019-09;7.57
Total;2019-10;5.18
Total;2019-11;3.42
Total;2019-12;0.13
Total;2019-13;-0.87
Total;2019-14;1.32
Total;2019-15;-0.79
Total;2019-16;1.54
Total;2019-17;1.19
Total;2019-18;-0.85
Total;2019-19;0.1
Total;2019-20;0.82
Total;2019-21;0.8
Total;2019-22;0.37
Total;2019-23;1.51
Total;2019-24;0.72
Total;2019-25;1.39
Total;2019-26;5.44
Total;2019-27;3.53
Total;2019-28;0.77
Total;2019-29;1.24
Total;2019-30;10.87
Total;2019-31;1.56
Total;2019-32;0.92
Total;2019-33;-1.43
Total;2019-34;0.14
Total;2019-35;3.36
Total;2019-36;-2.47
Total;2019-37;-1.2
Total;2019-38;-0.49
Total;2019-39;1.2
Total;2019-40;0.09
Total;2019-41;2.22
Total;2019-42;1.28
Total;2019-43;0.78
Total;2019-44;0.65
Total;2019-45;1.08
Total;2019-46;2.32
