group;week;zscore
Total;2017-05;19.81
Total;2017-06;13.76
Total;2017-07;11.62
Total;2017-08;8.7
Total;2017-09;5.45
Total;2017-10;1.76
Total;2017-11;-0.64
Total;2017-12;-2.43
Total;2017-13;-1.91
Total;2017-14;-2.87
Total;2017-15;-2.47
Total;2017-16;-2.73
Total;2017-17;1.28
Total;2017-18;1.12
Total;2017-19;1.46
Total;2017-20;1.31
Total;2017-21;0.76
Total;2017-22;-0.3
Total;2017-23;-2.75
Total;2017-24;1.24
Total;2017-25;4.96
Total;2017-26;0.62
Total;2017-27;2.88
Total;2017-28;-0.06
Total;2017-29;1.61
Total;2017-30;0.51
Total;2017-31;3.85
Total;2017-32;1.55
Total;2017-33;0.39
Total;2017-34;0.67
Total;2017-35;-0.49
Total;2017-36;-2.83
Total;2017-37;-1.12
Total;2017-38;0.54
Total;2017-39;1.75
Total;2017-40;1.4
Total;2017-41;2.28
Total;2017-42;0.26
Total;2017-43;-1.67
Total;2017-44;-2
Total;2017-45;-1.2
Total;2017-46;0.82
Total;2017-47;1.14
Total;2017-48;0.89
Total;2017-49;3.89
Total;2017-50;6.26
Total;2017-51;7.08
Total;2017-52;10.62
Total;2018-01;15.08
Total;2018-02;12.25
Total;2018-03;11.64
Total;2018-04;8.83
Total;2018-05;8.11
Total;2018-06;9.09
Total;2018-07;12.34
Total;2018-08;14.81
Total;2018-09;21.95
Total;2018-10;23.67
Total;2018-11;16.67
Total;2018-12;12.43
Total;2018-13;9.5
Total;2018-14;7.17
Total;2018-15;4.58
Total;2018-16;1.37
Total;2018-17;-2.55
Total;2018-18;-2.78
Total;2018-19;-2.15
Total;2018-20;-2.8
Total;2018-21;-0.9
Total;2018-22;0.41
Total;2018-23;-1.16
Total;2018-24;-2.87
Total;2018-25;-0.59
Total;2018-26;2.72
Total;2018-27;3.28
Total;2018-28;0.57
Total;2018-29;3.21
Total;2018-30;7.15
Total;2018-31;11.27
Total;2018-32;7.59
Total;2018-33;0.84
Total;2018-34;0.66
Total;2018-35;-1.57
Total;2018-36;-0.61
