group;week;zscore
Total;2017-03;19.43
Total;2017-04;19.51
Total;2017-05;20.17
Total;2017-06;14.02
Total;2017-07;11.85
Total;2017-08;8.88
Total;2017-09;5.59
Total;2017-10;1.84
Total;2017-11;-0.61
Total;2017-12;-2.42
Total;2017-13;-1.89
Total;2017-14;-2.87
Total;2017-15;-2.46
Total;2017-16;-2.73
Total;2017-17;1.32
Total;2017-18;1.21
Total;2017-19;1.49
Total;2017-20;1.34
Total;2017-21;0.78
Total;2017-22;-0.3
Total;2017-23;-2.76
Total;2017-24;1.25
Total;2017-25;5
Total;2017-26;0.62
Total;2017-27;2.9
Total;2017-28;-0.07
Total;2017-29;1.62
Total;2017-30;0.51
Total;2017-31;3.88
Total;2017-32;1.55
Total;2017-33;0.39
Total;2017-34;0.66
Total;2017-35;-0.5
Total;2017-36;-2.86
Total;2017-37;-1.13
Total;2017-38;0.55
Total;2017-39;1.76
Total;2017-40;1.41
Total;2017-41;2.3
Total;2017-42;0.27
Total;2017-43;-1.68
Total;2017-44;-2
Total;2017-45;-1.19
Total;2017-46;0.85
Total;2017-47;1.18
Total;2017-48;0.93
Total;2017-49;3.97
Total;2017-50;6.37
Total;2017-51;7.2
Total;2017-52;10.78
Total;2018-01;15.3
Total;2018-02;12.45
Total;2018-03;11.84
Total;2018-04;8.99
Total;2018-05;8.26
Total;2018-06;9.26
Total;2018-07;12.55
Total;2018-08;15.05
Total;2018-09;22.28
Total;2018-10;24.01
Total;2018-11;16.92
Total;2018-12;12.62
Total;2018-13;9.65
Total;2018-14;7.28
Total;2018-15;4.66
Total;2018-16;1.41
Total;2018-17;-2.55
Total;2018-18;-2.79
Total;2018-19;-2.15
Total;2018-20;-2.81
Total;2018-21;-0.9
Total;2018-22;0.42
Total;2018-23;-1.17
Total;2018-24;-2.9
Total;2018-25;-0.6
Total;2018-26;2.73
Total;2018-27;3.29
Total;2018-28;0.56
Total;2018-29;3.22
Total;2018-30;7.19
Total;2018-31;11.35
Total;2018-32;7.64
Total;2018-33;0.82
Total;2018-34;0.65
Total;2018-35;-1.6
Total;2018-36;-0.63
Total;2018-37;-1.53
Total;2018-38;-0.24
Total;2018-39;-2.22
Total;2018-40;0.18
Total;2018-41;1.17
Total;2018-42;-3.02
Total;2018-43;-2.86
Total;2018-44;-0.73
Total;2018-45;-0.07
Total;2018-46;-3.01
Total;2018-47;-1.89
Total;2018-48;-0.74
Total;2018-49;-0.43
Total;2018-50;-0.99
Total;2018-51;2.02
Total;2018-52;0.71
Total;2019-01;5.16
Total;2019-02;8.61
Total;2019-03;8.4
Total;2019-04;8.96
Total;2019-05;9.85
Total;2019-06;10.17
Total;2019-07;8.22
Total;2019-08;7.31
Total;2019-09;7.29
Total;2019-10;4.84
Total;2019-11;3.01
Total;2019-12;-0.13
Total;2019-13;-1.05
