group;week;zscore
Total;2017-07;11.8
Total;2017-08;8.86
Total;2017-09;5.61
Total;2017-10;1.89
Total;2017-11;-0.53
Total;2017-12;-2.31
Total;2017-13;-1.79
Total;2017-14;-2.77
Total;2017-15;-2.38
Total;2017-16;-2.64
Total;2017-17;1.36
Total;2017-18;1.21
Total;2017-19;1.55
Total;2017-20;1.38
Total;2017-21;0.83
Total;2017-22;-0.25
Total;2017-23;-2.72
Total;2017-24;1.3
Total;2017-25;5.01
Total;2017-26;0.64
Total;2017-27;2.92
Total;2017-28;-0.01
Total;2017-29;1.65
Total;2017-30;0.54
Total;2017-31;3.88
Total;2017-32;1.6
Total;2017-33;0.4
Total;2017-34;0.68
Total;2017-35;-0.49
Total;2017-36;-2.85
Total;2017-37;-1.11
Total;2017-38;0.53
Total;2017-39;1.77
Total;2017-40;1.42
Total;2017-41;2.33
Total;2017-42;0.28
Total;2017-43;-1.66
Total;2017-44;-1.98
Total;2017-45;-1.15
Total;2017-46;0.89
Total;2017-47;1.22
Total;2017-48;0.97
Total;2017-49;3.98
Total;2017-50;6.36
Total;2017-51;7.2
Total;2017-52;10.75
Total;2018-01;15.24
Total;2018-02;12.4
Total;2018-03;11.8
Total;2018-04;8.97
Total;2018-05;8.24
Total;2018-06;9.22
Total;2018-07;12.5
Total;2018-08;14.98
Total;2018-09;22.15
Total;2018-10;23.87
Total;2018-11;16.83
Total;2018-12;12.57
Total;2018-13;9.63
Total;2018-14;7.28
Total;2018-15;4.69
Total;2018-16;1.45
Total;2018-17;-2.51
Total;2018-18;-2.75
Total;2018-19;-2.11
Total;2018-20;-2.79
Total;2018-21;-0.88
Total;2018-22;0.45
Total;2018-23;-1.15
Total;2018-24;-2.86
Total;2018-25;-0.6
Total;2018-26;2.73
Total;2018-27;3.28
Total;2018-28;0.57
Total;2018-29;3.21
Total;2018-30;7.14
Total;2018-31;11.31
Total;2018-32;7.62
Total;2018-33;0.82
Total;2018-34;0.64
Total;2018-35;-1.61
Total;2018-36;-0.65
Total;2018-37;-1.55
Total;2018-38;-0.26
Total;2018-39;-2.22
Total;2018-40;0.16
Total;2018-41;1.16
Total;2018-42;-3.03
Total;2018-43;-2.86
Total;2018-44;-0.73
Total;2018-45;-0.07
Total;2018-46;-3.01
Total;2018-47;-1.88
Total;2018-48;-0.74
Total;2018-49;-0.43
Total;2018-50;-0.95
Total;2018-51;2
Total;2018-52;0.71
Total;2019-01;5.15
Total;2019-02;8.6
Total;2019-03;8.39
Total;2019-04;8.95
Total;2019-05;9.8
Total;2019-06;10.14
Total;2019-07;8.2
Total;2019-08;7.29
Total;2019-09;7.31
Total;2019-10;4.85
Total;2019-11;3.04
Total;2019-12;-0.1
Total;2019-13;-1.02
Total;2019-14;1.16
Total;2019-15;-0.84
Total;2019-16;1.46
Total;2019-17;1.07
Total;2019-18;-0.81
Total;2019-19;0.06
Total;2019-20;0.82
Total;2019-21;0.81
