country;group;week;zscore
Austria;85P;2019-02;0.32
Austria;85P;2019-03;0.01
Austria;85P;2019-04;0.61
Austria;85P;2019-05;1.29
Austria;85P;2019-06;0.37
Austria;85P;2019-07;1.37
Austria;85P;2019-08;1.76
Austria;85P;2019-09;1.51
Austria;85P;2019-10;1.84
Austria;85P;2019-11;2.42
Austria;85P;2019-12;-0.04
Austria;85P;2019-13;0.82
Austria;85P;2019-14;-0.19
Austria;85P;2019-15;0.07
Austria;85P;2019-16;0.12
Austria;85P;2019-17;1.05
Austria;85P;2019-18;-0.28
Austria;85P;2019-19;-0.83
Austria;85P;2019-20;1.15
Austria;85P;2019-21;0.44
Austria;85P;2019-22;0.13
Austria;85P;2019-23;1.23
Austria;85P;2019-24;1.89
Austria;85P;2019-25;-0.18
Austria;85P;2019-26;-0.57
Austria;85P;2019-27;0.75
Austria;85P;2019-28;-0.03
Austria;85P;2019-29;0.45
Austria;85P;2019-30;2.54
Austria;85P;2019-31;1.09
Austria;85P;2019-32;0.72
Austria;85P;2019-33;-0.14
Austria;85P;2019-34;0.97
Austria;85P;2019-35;0.67
Austria;85P;2019-36;-0.54
Austria;85P;2019-37;-0.18
Austria;85P;2019-38;-1.24
Austria;85P;2019-39;0.71
Austria;85P;2019-40;0.62
Austria;85P;2019-41;1.21
Austria;85P;2019-42;-0.73
Austria;85P;2019-43;-0.38
Austria;85P;2019-44;0.02
Austria;85P;2019-45;-0.18
Austria;85P;2019-46;-1.2
Austria;85P;2019-47;-1.08
Austria;85P;2019-48;-1.11
Austria;85P;2019-49;-0.59
Austria;85P;2019-50;-0.95
Austria;85P;2019-51;-0.51
Austria;85P;2019-52;-0.25
Austria;85P;2020-01;-1.13
Austria;85P;2020-02;-0.58
Austria;85P;2020-03;0.51
Austria;85P;2020-04;0.1
Austria;85P;2020-05;2.53
Austria;85P;2020-06;-0.23
Austria;85P;2020-07;2.94
Austria;85P;2020-08;0.21
Austria;85P;2020-09;0.61
Austria;85P;2020-10;0.22
Austria;85P;2020-11;0.32
Austria;85P;2020-12;1.63
Austria;85P;2020-13;1.07
Austria;85P;2020-14;1.95
Austria;85P;2020-15;2.34
Austria;85P;2020-16;1.1
Austria;85P;2020-17;-0.27
Austria;85P;2020-18;-0.51
Austria;85P;2020-19;-0.48
Austria;85P;2020-20;-1.11
Austria;85P;2020-21;-1.12
Austria;85P;2020-22;-0.97
Austria;85P;2020-23;0.01
Austria;85P;2020-24;-0.11
Austria;85P;2020-25;-0.14
Austria;85P;2020-26;0.3
Austria;85P;2020-27;0.88
Austria;85P;2020-28;-0.71
Austria;85P;2020-29;-1.2
Austria;85P;2020-30;-0.77
Austria;85P;2020-31;0.3
Austria;85P;2020-32;-1.19
Austria;85P;2020-33;1.79
Austria;85P;2020-34;-0.17
Austria;85P;2020-35;-0.08
Austria;85P;2020-36;-0.68
Austria;85P;2020-37;0.17
Austria;85P;2020-38;0.06
Austria;85P;2020-39;0.23
Austria;85P;2020-40;-0.18
Austria;85P;2020-41;0.13
Austria;85P;2020-42;-0.2
Austria;85P;2020-43;1.98
Austria;85P;2020-44;2.96
Austria;85P;2020-45;2.77
Austria;85P;2020-46;7.48
Austria;85P;2020-47;7.65
Austria;85P;2020-48;8.01
Austria;85P;2020-49;9.23
Austria;85P;2020-50;7.28
Austria;85P;2020-51;5.41
Austria;85P;2020-52;3.72
Austria;85P;2020-53;2.27
Austria;85P;2021-01;1.63
Austria;85P;2021-02;1.79
Austria;85P;2021-03;3.11
Austria;85P;2021-04;2.24
Austria;85P;2021-05;0.82
Austria;85P;2021-06;-0.63
Austria;85P;2021-07;-0.43
Austria;85P;2021-08;-0.75
Austria;85P;2021-09;-2.7
Austria;85P;2021-10;0.31
Austria;85P;2021-11;-0.83
Austria;85P;2021-12;-1.46
Austria;85P;2021-13;0.12
Austria;85P;2021-14;-1.59
Austria;85P;2021-15;-0.99
Austria;85P;2021-16;-0.84
Austria;85P;2021-17;0.01
Austria;85P;2021-18;0.93
Austria;85P;2021-19;-1.14
Austria;85P;2021-20;-0.16
Austria;85P;2021-21;-0.71
Austria;85P;2021-22;0.18
Austria;85P;2021-23;-0.09
Austria;85P;2021-24;0.85
Austria;85P;2021-25;1.69
Austria;85P;2021-26;-0.76
Austria;85P;2021-27;-0.56
Austria;85P;2021-28;-0.58
Austria;85P;2021-29;0.52
Austria;85P;2021-30;-0.07
Austria;85P;2021-31;-1.11
Austria;85P;2021-32;0.89
Austria;85P;2021-33;0.02
Austria;85P;2021-34;0.48
Austria;85P;2021-35;-0.65
Austria;85P;2021-36;-0.45
Austria;85P;2021-37;-0.31
Austria;85P;2021-38;-0.86
Austria;85P;2021-39;0.65
Austria;85P;2021-40;-1.32
Austria;85P;2021-41;-0.13
Austria;85P;2021-42;0.82
Austria;85P;2021-43;1.27
Austria;85P;2021-44;2.16
Austria;85P;2021-45;2.34
Austria;85P;2021-46;2.36
Austria;85P;2021-47;2.23
Austria;85P;2021-48;2.84
Austria;85P;2021-49;1.83
Austria;85P;2021-50;-0.26
Austria;85P;2021-51;-0.72
Austria;85P;2021-52;0.04
Austria;85P;2022-01;-1.26
Austria;85P;2022-02;-1.59
Austria;85P;2022-03;-0.77
Austria;85P;2022-04;-1.18
Austria;85P;2022-05;-0.64
Austria;85P;2022-06;0.25
Austria;85P;2022-07;1.57
Austria;85P;2022-08;1.14
Austria;85P;2022-09;1.7
Austria;85P;2022-10;0.9
Austria;85P;2022-11;1.57
Austria;85P;2022-12;2.6
Austria;85P;2022-13;2.17
Austria;85P;2022-14;2.85
Austria;85P;2022-15;1.58
Austria;85P;2022-16;-0.13
Austria;85P;2022-17;1.21
Austria;85P;2022-18;-0.77
Austria;85P;2022-19;-1.03
Austria;85P;2022-20;-1.15
Austria;85P;2022-21;-1.37
Austria;85P;2022-22;-1.13
Austria;85P;2022-23;-0.81
Austria;85P;2022-24;-0.13
Austria;85P;2022-25;0.16
Austria;85P;2022-26;0.53
Austria;85P;2022-27;1.71
Austria;85P;2022-28;0.37
Austria;85P;2022-29;3.96
Austria;85P;2022-30;1.87
Austria;85P;2022-31;0.84
Austria;85P;2022-32;0.29
Austria;85P;2022-33;1.21
Austria;85P;2022-34;-0.69
Austria;85P;2022-35;-2.07
Austria;85P;2022-36;-1.73
Austria;85P;2022-37;-1.42
Austria;85P;2022-38;-0.37
Austria;85P;2022-39;1.59
Austria;85P;2022-40;1.61
Austria;85P;2022-41;1.12
Austria;85P;2022-42;1.43
Austria;85P;2022-43;-0.54
Austria;85P;2022-44;-0.09
Austria;85P;2022-45;-0.66
Austria;85P;2022-46;-1.27
Austria;85P;2022-47;-1.81
Austria;85P;2022-48;-0.58
Austria;85P;2022-49;-0.77
Austria;85P;2022-50;1.52
Austria;85P;2022-51;1.79
Austria;85P;2022-52;-5.92
Belgium;85P;2019-02;1.56
Belgium;85P;2019-03;1.52
Belgium;85P;2019-04;1.63
Belgium;85P;2019-05;2.65
Belgium;85P;2019-06;3.27
Belgium;85P;2019-07;1.95
Belgium;85P;2019-08;2.77
Belgium;85P;2019-09;2.55
Belgium;85P;2019-10;3.08
Belgium;85P;2019-11;2.4
Belgium;85P;2019-12;0.96
Belgium;85P;2019-13;-0.5
Belgium;85P;2019-14;0.9
Belgium;85P;2019-15;-0.72
Belgium;85P;2019-16;-0.13
Belgium;85P;2019-17;0.74
Belgium;85P;2019-18;0.1
Belgium;85P;2019-19;-0.03
Belgium;85P;2019-20;0.9
Belgium;85P;2019-21;0.71
Belgium;85P;2019-22;0.08
Belgium;85P;2019-23;0.68
Belgium;85P;2019-24;-0.31
Belgium;85P;2019-25;0.29
Belgium;85P;2019-26;1.05
Belgium;85P;2019-27;0.11
Belgium;85P;2019-28;-0.4
Belgium;85P;2019-29;-0.51
Belgium;85P;2019-30;4.74
Belgium;85P;2019-31;1.36
Belgium;85P;2019-32;-0.51
Belgium;85P;2019-33;-0.99
Belgium;85P;2019-34;0.67
Belgium;85P;2019-35;1.59
Belgium;85P;2019-36;-0.5
Belgium;85P;2019-37;-0.13
Belgium;85P;2019-38;-0.33
Belgium;85P;2019-39;-0.56
Belgium;85P;2019-40;1.83
Belgium;85P;2019-41;-0.46
Belgium;85P;2019-42;0.8
Belgium;85P;2019-43;0.58
Belgium;85P;2019-44;-0.91
Belgium;85P;2019-45;-0.04
Belgium;85P;2019-46;0.78
Belgium;85P;2019-47;1.39
Belgium;85P;2019-48;0.11
Belgium;85P;2019-49;0.79
Belgium;85P;2019-50;0.87
Belgium;85P;2019-51;1.21
Belgium;85P;2019-52;-0.08
Belgium;85P;2020-01;0.31
Belgium;85P;2020-02;2.33
Belgium;85P;2020-03;1.18
Belgium;85P;2020-04;0.05
Belgium;85P;2020-05;1.17
Belgium;85P;2020-06;-0.83
Belgium;85P;2020-07;0.54
Belgium;85P;2020-08;0.62
Belgium;85P;2020-09;0.36
Belgium;85P;2020-10;0.57
Belgium;85P;2020-11;0.33
Belgium;85P;2020-12;2.72
Belgium;85P;2020-13;8.73
Belgium;85P;2020-14;16.1
Belgium;85P;2020-15;19.47
Belgium;85P;2020-16;16.09
Belgium;85P;2020-17;10.56
Belgium;85P;2020-18;4.36
Belgium;85P;2020-19;4.37
Belgium;85P;2020-20;0.78
Belgium;85P;2020-21;2.48
Belgium;85P;2020-22;1.35
Belgium;85P;2020-23;-0.56
Belgium;85P;2020-24;-0.42
Belgium;85P;2020-25;-0.29
Belgium;85P;2020-26;0.48
Belgium;85P;2020-27;-0.81
Belgium;85P;2020-28;-2.09
Belgium;85P;2020-29;-0.04
Belgium;85P;2020-30;-0.26
Belgium;85P;2020-31;0.81
Belgium;85P;2020-32;1.53
Belgium;85P;2020-33;9.69
Belgium;85P;2020-34;3.66
Belgium;85P;2020-35;-0.48
Belgium;85P;2020-36;-0.39
Belgium;85P;2020-37;-1.26
Belgium;85P;2020-38;0.95
Belgium;85P;2020-39;-0.36
Belgium;85P;2020-40;-0.65
Belgium;85P;2020-41;-0.07
Belgium;85P;2020-42;0.24
Belgium;85P;2020-43;5.74
Belgium;85P;2020-44;9.59
Belgium;85P;2020-45;13.76
Belgium;85P;2020-46;11.77
Belgium;85P;2020-47;8.71
Belgium;85P;2020-48;6.52
Belgium;85P;2020-49;4.55
Belgium;85P;2020-50;5.26
Belgium;85P;2020-51;4.88
Belgium;85P;2020-52;4.42
Belgium;85P;2020-53;1.49
Belgium;85P;2021-01;2.28
Belgium;85P;2021-02;1.63
Belgium;85P;2021-03;1.42
Belgium;85P;2021-04;0.85
Belgium;85P;2021-05;0.03
Belgium;85P;2021-06;0.78
Belgium;85P;2021-07;0.48
Belgium;85P;2021-08;-0.73
Belgium;85P;2021-09;-2.43
Belgium;85P;2021-10;-0.99
Belgium;85P;2021-11;-1.42
Belgium;85P;2021-12;-1.59
Belgium;85P;2021-13;-1.28
Belgium;85P;2021-14;-1.67
Belgium;85P;2021-15;-1.26
Belgium;85P;2021-16;-0.93
Belgium;85P;2021-17;0.02
Belgium;85P;2021-18;0.64
Belgium;85P;2021-19;-1.14
Belgium;85P;2021-20;-0.98
Belgium;85P;2021-21;-0.87
Belgium;85P;2021-22;0.38
Belgium;85P;2021-23;-1.12
Belgium;85P;2021-24;-0.18
Belgium;85P;2021-25;-1.99
Belgium;85P;2021-26;-1.14
Belgium;85P;2021-27;-1.01
Belgium;85P;2021-28;-0.86
Belgium;85P;2021-29;1.35
Belgium;85P;2021-30;-0.1
Belgium;85P;2021-31;-0.71
Belgium;85P;2021-32;-0.6
Belgium;85P;2021-33;-1.41
Belgium;85P;2021-34;-1.06
Belgium;85P;2021-35;-0.69
Belgium;85P;2021-36;0.63
Belgium;85P;2021-37;-2.11
Belgium;85P;2021-38;-1.09
Belgium;85P;2021-39;-0.44
Belgium;85P;2021-40;0.44
Belgium;85P;2021-41;0.86
Belgium;85P;2021-42;2.07
Belgium;85P;2021-43;2.93
