group;week;zscore
Total;2017-52;10.92
Total;2018-01;15.17
Total;2018-02;12.6
Total;2018-03;11.95
Total;2018-04;9.29
Total;2018-05;8.59
Total;2018-06;9.34
Total;2018-07;12.47
Total;2018-08;14.73
Total;2018-09;21.46
Total;2018-10;23.12
Total;2018-11;16.33
Total;2018-12;12.28
Total;2018-13;9.44
Total;2018-14;7
Total;2018-15;4.67
Total;2018-16;1.69
Total;2018-17;-2.12
Total;2018-18;-2.61
Total;2018-19;-2.01
Total;2018-20;-2.52
Total;2018-21;-0.71
Total;2018-22;0.47
Total;2018-23;-1.27
Total;2018-24;-2.82
Total;2018-25;-0.86
Total;2018-26;2.11
Total;2018-27;2.65
Total;2018-28;0.01
Total;2018-29;2.34
Total;2018-30;6.14
Total;2018-31;10.11
Total;2018-32;6.95
Total;2018-33;0.33
Total;2018-34;0.18
Total;2018-35;-2.13
Total;2018-36;-1.2
Total;2018-37;-1.88
Total;2018-38;-0.73
Total;2018-39;-2.52
Total;2018-40;-0.14
Total;2018-41;0.79
Total;2018-42;-2.93
Total;2018-43;-2.84
Total;2018-44;-0.82
Total;2018-45;0.05
Total;2018-46;-2.68
Total;2018-47;-1.42
Total;2018-48;-0.61
Total;2018-49;-0.27
Total;2018-50;-0.56
Total;2018-51;2.21
Total;2018-52;1.09
Total;2019-01;5.15
Total;2019-02;8.68
Total;2019-03;8.5
Total;2019-04;9.12
Total;2019-05;9.99
Total;2019-06;10.15
Total;2019-07;8.37
Total;2019-08;7.43
Total;2019-09;7.43
Total;2019-10;5.17
Total;2019-11;3.22
Total;2019-12;0.24
Total;2019-13;-0.77
Total;2019-14;1.22
Total;2019-15;-0.64
Total;2019-16;1.2
Total;2019-17;0.84
Total;2019-18;-0.92
Total;2019-19;-0.29
Total;2019-20;0.53
Total;2019-21;0.64
Total;2019-22;0.02
Total;2019-23;0.95
Total;2019-24;0.25
Total;2019-25;0.81
Total;2019-26;4.57
Total;2019-27;2.9
Total;2019-28;0.13
Total;2019-29;0.6
Total;2019-30;9.57
Total;2019-31;0.73
Total;2019-32;0.09
Total;2019-33;-2.02
Total;2019-34;-0.58
Total;2019-35;2.11
Total;2019-36;-2.98
Total;2019-37;-1.85
Total;2019-38;-1.24
Total;2019-39;0.05
Total;2019-40;-0.73
Total;2019-41;1.19
Total;2019-42;0.39
Total;2019-43;-0.07
Total;2019-44;-0.07
Total;2019-45;0.28
Total;2019-46;1.46
Total;2019-47;2.07
Total;2019-48;1.27
Total;2019-49;1.93
Total;2019-50;3.08
Total;2019-51;4.21
Total;2019-52;1.18
Total;2020-01;4.2
Total;2020-02;6.48
Total;2020-03;4.73
Total;2020-04;3.23
Total;2020-05;5.36
Total;2020-06;2.32
Total;2020-07;2.82
Total;2020-08;-0.16
Total;2020-09;1.44
Total;2020-10;2.71
Total;2020-11;6.03
Total;2020-12;15.4
Total;2020-13;31.47
Total;2020-14;45.81
Total;2020-15;44.28
Total;2020-16;32.16
Total;2020-17;20.98
Total;2020-18;11.18
Total;2020-19;7.1
