Gruppe;Datum;Genkopien pro EW / Tag * 10^6
Vorarlberg;2022-09-01;83.4
Vorarlberg;2022-09-02;84.45
Vorarlberg;2022-09-03;85.31
Vorarlberg;2022-09-04;82.2
Vorarlberg;2022-09-05;83.04
Vorarlberg;2022-09-06;84.07
Vorarlberg;2022-09-07;85.33
Vorarlberg;2022-09-08;86.82
Vorarlberg;2022-09-09;88.52
Vorarlberg;2022-09-10;90.55
Vorarlberg;2022-09-11;92.93
Vorarlberg;2022-09-12;95.81
Vorarlberg;2022-09-13;99.28
Vorarlberg;2022-09-14;103.4
Vorarlberg;2022-09-15;108.12
Vorarlberg;2022-09-16;113.18
Vorarlberg;2022-09-17;118.41
Vorarlberg;2022-09-18;123.64
Vorarlberg;2022-09-19;128.82
Vorarlberg;2022-09-20;133.94
Vorarlberg;2022-09-21;139.07
Vorarlberg;2022-09-22;144.29
Vorarlberg;2022-09-23;149.7
Vorarlberg;2022-09-24;155.4
Vorarlberg;2022-09-25;161.57
Vorarlberg;2022-09-26;168.32
Vorarlberg;2022-09-27;175.7
Vorarlberg;2022-09-28;183.63
Vorarlberg;2022-09-29;191.85
Vorarlberg;2022-09-30;199.93
Vorarlberg;2022-10-01;207.58
Vorarlberg;2022-10-02;214.31
Vorarlberg;2022-10-03;219.84
Vorarlberg;2022-10-04;224.24
Vorarlberg;2022-10-05;227.43
Vorarlberg;2022-10-06;229.4
Vorarlberg;2022-10-07;230.02
Vorarlberg;2022-10-08;229.22
Vorarlberg;2022-10-09;226.8
Vorarlberg;2022-10-10;222.72
Vorarlberg;2022-10-11;217.12
Vorarlberg;2022-10-12;210.44
Vorarlberg;2022-10-13;203.0
Vorarlberg;2022-10-14;195.05
Vorarlberg;2022-10-15;186.73
Vorarlberg;2022-10-16;178.29
Vorarlberg;2022-10-17;169.81
Vorarlberg;2022-10-18;161.53
Vorarlberg;2022-10-19;153.49
Vorarlberg;2022-10-20;145.73
Vorarlberg;2022-10-21;138.24
Vorarlberg;2022-10-22;131.04
Vorarlberg;2022-10-23;124.25
Vorarlberg;2022-10-24;117.91
Vorarlberg;2022-10-25;112.13
Vorarlberg;2022-10-26;106.82
Vorarlberg;2022-10-27;101.93
Vorarlberg;2022-10-28;97.4
