Gruppe;Datum;Genkopien pro EW / Tag * 10^6
Vorarlberg;2022-09-01;83.4
Vorarlberg;2022-09-02;84.43
Vorarlberg;2022-09-03;85.28
Vorarlberg;2022-09-04;82.15
Vorarlberg;2022-09-05;82.97
Vorarlberg;2022-09-06;84.0
Vorarlberg;2022-09-07;85.27
Vorarlberg;2022-09-08;86.78
Vorarlberg;2022-09-09;88.5
Vorarlberg;2022-09-10;90.53
Vorarlberg;2022-09-11;92.9
Vorarlberg;2022-09-12;95.78
Vorarlberg;2022-09-13;99.26
Vorarlberg;2022-09-14;103.38
Vorarlberg;2022-09-15;108.08
Vorarlberg;2022-09-16;113.13
Vorarlberg;2022-09-17;118.39
Vorarlberg;2022-09-18;123.61
Vorarlberg;2022-09-19;128.76
Vorarlberg;2022-09-20;133.91
Vorarlberg;2022-09-21;139.03
Vorarlberg;2022-09-22;144.25
Vorarlberg;2022-09-23;149.65
Vorarlberg;2022-09-24;155.37
Vorarlberg;2022-09-25;161.56
Vorarlberg;2022-09-26;168.3
Vorarlberg;2022-09-27;175.69
Vorarlberg;2022-09-28;183.62
Vorarlberg;2022-09-29;191.82
Vorarlberg;2022-09-30;199.96
Vorarlberg;2022-10-01;207.58
Vorarlberg;2022-10-02;214.29
Vorarlberg;2022-10-03;219.85
Vorarlberg;2022-10-04;224.26
Vorarlberg;2022-10-05;227.47
Vorarlberg;2022-10-06;229.4
Vorarlberg;2022-10-07;230.08
Vorarlberg;2022-10-08;229.27
Vorarlberg;2022-10-09;226.83
Vorarlberg;2022-10-10;222.75
Vorarlberg;2022-10-11;217.19
Vorarlberg;2022-10-12;210.53
Vorarlberg;2022-10-13;203.08
Vorarlberg;2022-10-14;195.11
Vorarlberg;2022-10-15;186.78
Vorarlberg;2022-10-16;178.3
Vorarlberg;2022-10-17;169.83
Vorarlberg;2022-10-18;161.56
Vorarlberg;2022-10-19;153.52
Vorarlberg;2022-10-20;145.75
Vorarlberg;2022-10-21;138.25
Vorarlberg;2022-10-22;131.05
Vorarlberg;2022-10-23;124.27
Vorarlberg;2022-10-24;117.92
Vorarlberg;2022-10-25;112.14
Vorarlberg;2022-10-26;106.78
Vorarlberg;2022-10-27;101.94
Vorarlberg;2022-10-28;97.4
Vorarlberg;2022-10-29;93.17
Vorarlberg;2022-10-30;89.3
Vorarlberg;2022-10-31;85.69
Vorarlberg;2022-11-01;82.48
Vorarlberg;2022-11-02;79.62
Vorarlberg;2022-11-03;77.2
Vorarlberg;2022-11-04;75.23
Vorarlberg;2022-11-05;73.7
Vorarlberg;2022-11-06;72.78
Vorarlberg;2022-11-07;72.55
Vorarlberg;2022-11-08;73.08
Vorarlberg;2022-11-09;74.48
Vorarlberg;2022-11-10;76.54
Vorarlberg;2022-11-11;79.16
Vorarlberg;2022-11-12;82.2
Vorarlberg;2022-11-13;85.58
Vorarlberg;2022-11-14;89.33
Vorarlberg;2022-11-15;93.41
Vorarlberg;2022-11-16;97.76
Vorarlberg;2022-11-17;102.23
Vorarlberg;2022-11-18;106.73
Vorarlberg;2022-11-19;111.2
Vorarlberg;2022-11-20;115.59
Vorarlberg;2022-11-21;119.92
Vorarlberg;2022-11-22;124.25
Vorarlberg;2022-11-23;128.58
Vorarlberg;2022-11-24;132.9
Vorarlberg;2022-11-25;137.24
Vorarlberg;2022-11-26;141.59
Vorarlberg;2022-11-27;145.85
Vorarlberg;2022-11-28;150.04
Vorarlberg;2022-11-29;153.93
Vorarlberg;2022-11-30;157.44
Vorarlberg;2022-12-01;160.53
Vorarlberg;2022-12-02;163.3
Vorarlberg;2022-12-03;165.79
Vorarlberg;2022-12-04;168.27
Vorarlberg;2022-12-05;170.75
Vorarlberg;2022-12-06;173.41
Vorarlberg;2022-12-07;176.23
Vorarlberg;2022-12-08;179.1
Vorarlberg;2022-12-09;181.86
Vorarlberg;2022-12-10;184.37
Vorarlberg;2022-12-11;186.5
Vorarlberg;2022-12-12;188.21
Vorarlberg;2022-12-13;189.68
Vorarlberg;2022-12-14;191.18
Vorarlberg;2022-12-15;192.83
Vorarlberg;2022-12-16;194.6
Vorarlberg;2022-12-17;196.35
Vorarlberg;2022-12-18;197.92
Vorarlberg;2022-12-19;199.08
Vorarlberg;2022-12-20;199.62
Vorarlberg;2022-12-21;199.31
Vorarlberg;2022-12-22;198.1
Vorarlberg;2022-12-23;196.08
Vorarlberg;2022-12-24;193.35
Vorarlberg;2022-12-25;190.02
Vorarlberg;2022-12-26;186.06
