Datum;gemittelte kumulierte Faelle der letzten 7 Tage aus den Humantestungen;Gesamtvirenfracht [Genkopien pro Tag * 10^6]
2022-08-13;22574;
2022-08-14;22092;714880000
2022-08-15;20636;712224000
2022-08-16;20691;731824000
2022-08-17;21618;667200000
2022-08-18;21364;
2022-08-19;21186;
2022-08-20;20975;
2022-08-21;21103;424256000
2022-08-22;22053;517264000
2022-08-23;21200;618640000
2022-08-24;19628;642384000
2022-08-25;19204;
2022-08-26;18691;
2022-08-27;18501;
2022-08-28;18163;722640000
2022-08-29;17760;633760000
2022-08-30;17410;550512000
2022-08-31;17001;549712000
2022-09-01;16356;
2022-09-02;15876;
2022-09-03;15297;
2022-09-04;15686;550432000
2022-09-05;15465;532512000
2022-09-06;15309;518800000
2022-09-07;15267;515568000
2022-09-08;15382;
2022-09-09;15498;
2022-09-10;15476;
2022-09-11;15385;497056000
2022-09-12;15406;514704000
2022-09-13;15726;533536000
2022-09-14;16232;568368000
2022-09-15;16683;
2022-09-16;17092;
2022-09-17;17725;
2022-09-18;18058;742368000
2022-09-19;18508;765936000
2022-09-20;19398;795216000
2022-09-21;20262;857088000
2022-09-22;21254;
2022-09-23;22787;
2022-09-24;23498;
2022-09-25;24734;1118592000
2022-09-26;27241;1209152000
2022-09-27;30550;1304576000
2022-09-28;33303;1422256000
2022-09-29;35772;
2022-09-30;37862;
2022-10-01;39820;
2022-10-02;40920;1725648000
2022-10-03;42637;1636128000
2022-10-04;44265;1553360000
2022-10-05;45174;1558704000
2022-10-06;47235;
2022-10-07;47723;
2022-10-08;48415;
2022-10-09;48580;1574800000
2022-10-10;47862;1619808000
2022-10-11;48019;1665904000
2022-10-12;47813;1538656000
2022-10-13;46054;1441040000
2022-10-14;45212;
2022-10-15;43889;
2022-10-16;42740;1149536000
2022-10-17;41326;1046176000
2022-10-18;38864;947968000
2022-10-19;36563;916016000
2022-10-20;33942;
2022-10-21;31855;
2022-10-22;30549;
2022-10-23;29247;789904000
2022-10-24;27638;749664000
2022-10-25;25324;708672000
2022-10-26;22575;664144000
2022-10-27;21511;631344000
2022-10-28;20565;
2022-10-29;19725;
2022-10-30;19305;534624000
2022-10-31;18052;507328000
2022-11-01;15944;476608000
2022-11-02;15969;477888000
2022-11-03;16605;
2022-11-04;16095;
2022-11-05;15383;
2022-11-06;15508;522144000
2022-11-07;15131;481536000
2022-11-08;15547;442016000
2022-11-09;15464;482912000
2022-11-10;13893;
2022-11-11;13734;
2022-11-12;13690;621344000
2022-11-13;13420;665136000
2022-11-14;13610;629488000
2022-11-15;13781;600336000
2022-11-16;14252;659296000
2022-11-17;14948;
2022-11-18;15021;
2022-11-19;15219;
2022-11-20;15313;850464000
2022-11-21;15712;849248000
2022-11-22;16299;852768000
2022-11-23;16450;889728000
2022-11-24;16480;
2022-11-25;16717;
2022-11-26;17076;
2022-11-27;17453;1011152000
2022-11-28;17560;987104000
2022-11-29;18224;962688000
2022-11-30;18533;978016000
2022-12-01;19129;
2022-12-02;19380;1017488000
2022-12-03;19380;1020000000
2022-12-04;19727;1040320000
2022-12-05;19792;1192608000
2022-12-06;20083;1341408000
2022-12-07;19953;1317280000
2022-12-08;19400;1290336000
2022-12-09;18798;
2022-12-10;19707;
2022-12-11;19691;1209936000
2022-12-12;19930;1180560000
2022-12-13;19897;1146464000
2022-12-14;20336;1193632000
2022-12-15;20711;
2022-12-16;21506;
2022-12-17;20804;
2022-12-18;20755;1504240000
2022-12-19;20891;1524880000
2022-12-20;20370;1556784000
2022-12-21;20383;1502544000
2022-12-22;20313;
2022-12-23;20501;
2022-12-24;21047;
2022-12-25;20299;1301920000
2022-12-26;18743;1273408000
2022-12-27;17774;1247840000
2022-12-28;17347;1228288000
2022-12-29;16998;
2022-12-30;16327;
2022-12-31;15087;
2023-01-01;14735;1077360000
2023-01-02;15108;1045168000
2023-01-03;14496;1009584000
2023-01-04;13544;957136000
2023-01-05;12686;
2023-01-06;11279;
2023-01-07;10905;
2023-01-08;11306;728240000
2023-01-09;11318;774352000
2023-01-10;10942;822240000
2023-01-11;10173;823424000
2023-01-12;9707;
2023-01-13;9599;
2023-01-14;9213;
2023-01-15;8809;804176000
2023-01-16;7981;712256000
2023-01-17;7478;633696000
2023-01-18;7073;656816000
2023-01-19;7020;
2023-01-20;7437;
2023-01-21;7498;
2023-01-22;7810;715328000
2023-01-23;8366;781264000
2023-01-24;9199;853136000
2023-01-25;10287;906304000
2023-01-26;11033;965552000
2023-01-27;11470;
2023-01-28;12105;
2023-01-29;12887;1150880000
2023-01-30;13323;1133040000
2023-01-31;14549;1122992000
2023-02-01;15378;1250048000
2023-02-02;15702;1375904000
2023-02-03;16748;
2023-02-04;16882;
2023-02-05;17018;1757568000
2023-02-06;17431;1743552000
2023-02-07;17499;1755040000
2023-02-08;17552;1783216000
2023-02-09;17812;1792576000
2023-02-10;17521;
2023-02-11;18024;
2023-02-12;18224;1825088000
2023-02-13;19169;2014688000
2023-02-14;19811;2220176000
2023-02-15;20491;2357424000
2023-02-16;21171;2407984000
2023-02-17;21337;
2023-02-18;21650;
2023-02-19;21872;2562080000
2023-02-20;21438;2257200000
2023-02-21;22199;1947008000
2023-02-22;22551;1966944000
2023-02-23;23082;1990768000
2023-02-24;23836;
2023-02-25;24378;
2023-02-26;24581;2053712000
2023-02-27;25044;2159904000
2023-02-28;25220;2275280000
2023-03-01;25286;2224304000
2023-03-02;24450;2198096000
2023-03-03;24171;
2023-03-04;23574;
2023-03-05;23161;2123264000
2023-03-06;23698;2047456000
2023-03-07;22566;1977392000
2023-03-08;21809;1946592000
2023-03-09;21964;1878800000
2023-03-10;21636;
2023-03-11;21517;
2023-03-12;21118;1668640000
2023-03-13;20243;1614176000
2023-03-14;19797;1563744000
2023-03-15;19777;1549760000
2023-03-16;19028;1543296000
2023-03-17;18628;
2023-03-18;17809;
2023-03-19;17733;1527616000
2023-03-20;17216;1339584000
2023-03-21;16901;1156768000
2023-03-22;16018;1165184000
2023-03-23;15750;1159616000
2023-03-24;15304;
2023-03-25;15090;1151696000
2023-03-26;14654;1127392000
2023-03-27;13699;943632000
2023-03-28;12534;765152000
2023-03-29;11692;761680000
2023-03-30;10742;770224000
2023-03-31;9887;
2023-04-01;9375;
2023-04-02;8932;796160000
2023-04-03;8464;773008000
2023-04-04;7750;757296000
2023-04-05;6897;766144000
2023-04-06;6627;760720000
2023-04-07;6184;
2023-04-08;6085;
2023-04-09;6155;746464000
2023-04-10;5214;741984000
2023-04-11;4124;733808000
2023-04-12;5356;711920000
2023-04-13;5260;695248000
2023-04-14;5202;
2023-04-15;4975;
2023-04-16;4894;648880000
2023-04-17;5209;566064000
2023-04-18;5427;486720000
2023-04-19;4883;481728000
2023-04-20;4543;
2023-04-21;4515;
2023-04-22;4524;
2023-04-23;4497;466720000
2023-04-24;4430;463120000
2023-04-25;3096;465712000
2023-04-26;3483;448480000
2023-04-27;4138;432064000
2023-04-28;3764;
2023-04-29;3710;
2023-04-30;3607;382000000
2023-05-01;1294;366656000
2023-05-02;1776;345040000
2023-05-03;2472;327440000
2023-05-04;2761;322544000
2023-05-05;2932;
2023-05-06;2737;
2023-05-07;2555;308096000
2023-05-08;2924;279920000
2023-05-09;2883;252512000
2023-05-10;2516;247104000
2023-05-11;2482;250688000
2023-05-12;2299;253376000
2023-05-13;2142;
2023-05-14;2136;259264000
2023-05-15;1833;238160000
2023-05-16;1788;217520000
2023-05-17;1716;
2023-05-18;1573;219568000
2023-05-19;1501;
2023-05-20;1599;
2023-05-21;1539;225792000
2023-05-22;1633;239184000
2023-05-23;1582;250160000
2023-05-24;1598;233600000
2023-05-25;1670;224784000
2023-05-26;1679;
2023-05-27;1500;
2023-05-28;1429;199136000
2023-05-29;1141;189888000
2023-05-30;949;182656000
2023-05-31;867;173792000
2023-06-01;839;166128000
2023-06-02;777;
2023-06-03;819;
2023-06-04;826;143696000
2023-06-05;933;144448000
2023-06-06;981;145312000
2023-06-07;912;
2023-06-08;802;141088000
2023-06-09;734;
2023-06-10;755;
2023-06-11;798;134144000
2023-06-12;756;130096000
2023-06-13;691;127344000
2023-06-14;683;120608000
2023-06-15;735;112544000
2023-06-16;756;
2023-06-17;700;
