code;name;;en_name;de_desc;de_link;en_desc;en_link;de_syn;en_syn
SEXWO-0;zusammen;;total;;;;;;
SEXWO-1;männlich;;male;;;;;;
SEXWO-2;weiblich;;female;;;;;;
