KW;BUNDESLAND;STATION;COVID;INFLUENZA;RSV;PNEUMOKOKKEN;SONSTIGE;AUFNAHMEN
24. KW 2023;W;N;27;1;0;1;144;171
25. KW 2023;BGL;I;1;0;0;0;2;2
25. KW 2023;BGL;N;2;0;0;0;28;29
25. KW 2023;KTN;I;0;0;0;0;2;2
25. KW 2023;KTN;N;3;0;0;1;66;70
25. KW 2023;NÖ;I;1;0;0;1;7;8
25. KW 2023;NÖ;N;9;1;0;2;128;140
25. KW 2023;OÖ;I;0;0;0;0;8;8
25. KW 2023;OÖ;N;10;0;0;4;114;125
25. KW 2023;SBG;I;1;0;0;1;3;5
25. KW 2023;SBG;N;6;1;0;0;51;56
25. KW 2023;ST;I;1;0;0;0;3;4
25. KW 2023;ST;N;11;0;0;3;136;146
25. KW 2023;T;I;0;0;0;0;0;0
25. KW 2023;T;N;5;0;0;2;100;106
25. KW 2023;V;I;0;0;0;0;1;1
25. KW 2023;V;N;0;0;0;3;23;26
25. KW 2023;W;I;2;0;0;1;17;20
25. KW 2023;W;N;13;0;0;1;130;143
26. KW 2023;BGL;I;0;0;0;0;1;1
26. KW 2023;BGL;N;1;0;0;0;32;33
26. KW 2023;KTN;I;0;0;0;0;3;3
26. KW 2023;KTN;N;5;0;1;1;64;69
26. KW 2023;NÖ;I;0;0;0;0;6;6
26. KW 2023;NÖ;N;10;1;0;1;130;141
26. KW 2023;OÖ;I;0;0;1;0;7;8
26. KW 2023;OÖ;N;9;0;1;1;107;114
26. KW 2023;SBG;I;0;0;0;0;3;3
26. KW 2023;SBG;N;0;0;0;2;40;40
26. KW 2023;ST;I;0;0;0;1;7;8
26. KW 2023;ST;N;8;0;1;1;148;156
26. KW 2023;T;I;0;0;0;0;5;5
26. KW 2023;T;N;2;0;0;0;84;86
26. KW 2023;V;I;0;0;0;0;3;3
26. KW 2023;V;N;0;0;0;2;23;25
26. KW 2023;W;I;0;0;0;0;16;16
26. KW 2023;W;N;7;0;0;2;152;161
27. KW 2023;BGL;I;0;0;0;0;1;1
27. KW 2023;BGL;N;2;0;0;0;25;26
27. KW 2023;KTN;I;0;0;0;0;3;3
27. KW 2023;KTN;N;2;0;0;2;71;75
27. KW 2023;NÖ;I;0;0;0;0;3;3
27. KW 2023;NÖ;N;13;0;0;1;132;142
27. KW 2023;OÖ;I;1;0;0;0;7;8
27. KW 2023;OÖ;N;10;0;1;2;131;142
27. KW 2023;SBG;I;0;0;0;0;2;2
27. KW 2023;SBG;N;6;0;0;1;38;44
27. KW 2023;ST;I;1;0;0;1;10;11
27. KW 2023;ST;N;4;0;0;1;109;114
27. KW 2023;T;I;0;0;0;0;5;5
27. KW 2023;T;N;6;0;0;0;87;90
27. KW 2023;V;I;0;0;0;1;3;4
27. KW 2023;V;N;0;0;0;1;25;26
27. KW 2023;W;I;1;0;0;0;11;12
27. KW 2023;W;N;13;0;1;2;134;150
28. KW 2023;BGL;I;1;0;0;0;1;2
28. KW 2023;BGL;N;3;0;0;0;29;30
28. KW 2023;KTN;I;0;0;0;0;4;4
28. KW 2023;KTN;N;2;0;0;0;59;60
28. KW 2023;NÖ;I;0;0;0;0;3;3
28. KW 2023;NÖ;N;7;0;1;2;144;151
28. KW 2023;OÖ;I;0;0;0;0;6;6
28. KW 2023;OÖ;N;6;0;0;2;127;135
28. KW 2023;SBG;I;1;0;0;0;6;7
28. KW 2023;SBG;N;3;0;0;0;51;54
28. KW 2023;ST;I;0;0;0;0;6;6
28. KW 2023;ST;N;6;0;1;1;131;139
28. KW 2023;T;I;0;0;0;0;3;3
28. KW 2023;T;N;1;0;0;3;84;86
28. KW 2023;V;I;0;0;0;0;4;4
28. KW 2023;V;N;0;0;0;2;26;28
28. KW 2023;W;I;0;0;0;1;10;11
28. KW 2023;W;N;15;1;0;1;124;140
29. KW 2023;BGL;I;0;0;0;0;4;4
29. KW 2023;BGL;N;4;0;0;0;25;29
29. KW 2023;KTN;I;0;0;0;0;1;1
29. KW 2023;KTN;N;2;0;0;1;75;78
29. KW 2023;NÖ;I;0;0;0;0;7;7
29. KW 2023;NÖ;N;8;0;0;2;133;141
29. KW 2023;OÖ;I;0;0;0;0;8;8
29. KW 2023;OÖ;N;7;0;2;1;120;130
29. KW 2023;SBG;I;0;0;0;1;5;6
29. KW 2023;SBG;N;5;0;0;0;46;51
29. KW 2023;ST;I;1;0;0;0;6;7
29. KW 2023;ST;N;5;0;1;2;119;127
29. KW 2023;T;I;0;0;0;1;0;1
29. KW 2023;T;N;2;0;0;1;63;66
29. KW 2023;V;I;1;0;0;0;1;2
29. KW 2023;V;N;2;0;0;2;27;30
29. KW 2023;W;I;3;0;0;0;15;18
29. KW 2023;W;N;8;0;0;1;103;111
30. KW 2023;BGL;I;0;0;0;0;1;1
30. KW 2023;BGL;N;4;0;0;0;32;36
30. KW 2023;KTN;I;1;0;0;0;2;3
30. KW 2023;KTN;N;6;0;0;2;62;69
30. KW 2023;NÖ;I;0;0;0;0;6;6
30. KW 2023;NÖ;N;11;0;0;0;123;132
30. KW 2023;OÖ;I;0;0;0;0;14;14
30. KW 2023;OÖ;N;6;0;0;1;109;115
30. KW 2023;SBG;I;0;0;0;0;1;1
30. KW 2023;SBG;N;4;0;0;1;45;49
30. KW 2023;ST;I;0;0;0;0;6;6
30. KW 2023;ST;N;12;0;1;0;124;136
30. KW 2023;T;I;0;0;0;0;3;3
30. KW 2023;T;N;3;0;0;2;93;97
30. KW 2023;V;I;0;0;0;0;2;2
30. KW 2023;V;N;3;0;0;3;46;50
30. KW 2023;W;I;0;0;0;0;9;9
30. KW 2023;W;N;10;0;0;2;88;99
31. KW 2023;BGL;I;0;0;0;0;0;0
31. KW 2023;BGL;N;2;0;0;0;21;23
31. KW 2023;KTN;I;0;0;0;0;1;1
31. KW 2023;KTN;N;4;0;1;1;55;60
31. KW 2023;NÖ;I;0;0;0;1;3;4
31. KW 2023;NÖ;N;12;0;0;0;109;119
31. KW 2023;OÖ;I;0;0;0;1;5;6
31. KW 2023;OÖ;N;7;0;0;0;117;121
31. KW 2023;SBG;I;0;0;0;0;5;5
31. KW 2023;SBG;N;2;0;0;0;36;38
31. KW 2023;ST;I;0;0;0;0;7;7
31. KW 2023;ST;N;8;0;0;0;120;127
31. KW 2023;T;I;0;0;0;0;6;6
31. KW 2023;T;N;8;0;0;0;84;90
31. KW 2023;V;I;0;0;0;0;2;2
31. KW 2023;V;N;7;0;0;1;30;38
31. KW 2023;W;I;1;0;0;0;14;14
31. KW 2023;W;N;17;0;0;1;100;118
32. KW 2023;BGL;I;0;0;0;0;2;2
32. KW 2023;BGL;N;2;0;0;0;27;29
32. KW 2023;KTN;I;1;0;0;0;6;6
32. KW 2023;KTN;N;12;0;0;1;62;73
32. KW 2023;NÖ;I;0;0;0;0;5;5
32. KW 2023;NÖ;N;18;0;0;1;140;157
32. KW 2023;OÖ;I;0;0;0;0;7;7
32. KW 2023;OÖ;N;18;0;0;1;119;136
32. KW 2023;SBG;I;0;0;0;1;1;2
32. KW 2023;SBG;N;9;0;0;0;53;60
32. KW 2023;ST;I;3;0;0;0;9;12
32. KW 2023;ST;N;22;0;0;0;105;124
32. KW 2023;T;I;0;0;0;0;3;3
32. KW 2023;T;N;11;0;0;1;80;90
32. KW 2023;V;I;0;0;0;0;4;4
32. KW 2023;V;N;2;0;1;3;35;39
32. KW 2023;W;I;2;0;0;1;10;13
32. KW 2023;W;N;31;0;0;0;122;149
33. KW 2023;BGL;I;1;0;0;0;2;2
33. KW 2023;BGL;N;5;0;0;0;22;26
33. KW 2023;KTN;I;0;0;0;0;2;2
33. KW 2023;KTN;N;17;0;0;0;72;85
33. KW 2023;NÖ;I;0;0;0;0;4;4
33. KW 2023;NÖ;N;19;0;0;1;117;134
33. KW 2023;OÖ;I;3;0;0;0;4;7
33. KW 2023;OÖ;N;21;1;0;5;115;137
33. KW 2023;SBG;I;1;1;0;0;2;4
33. KW 2023;SBG;N;10;0;0;0;52;62
33. KW 2023;ST;I;3;0;0;0;5;7
33. KW 2023;ST;N;31;0;1;1;121;151
33. KW 2023;T;I;2;0;0;1;4;7
33. KW 2023;T;N;14;0;0;3;61;77
33. KW 2023;V;I;0;0;0;0;3;3
33. KW 2023;V;N;6;0;0;2;40;48
33. KW 2023;W;I;0;0;0;0;12;12
33. KW 2023;W;N;38;0;0;2;136;171
34. KW 2023;BGL;I;0;0;0;0;2;2
34. KW 2023;BGL;N;7;0;0;0;27;34
34. KW 2023;KTN;I;0;0;0;0;3;3
34. KW 2023;KTN;N;17;0;0;0;66;80
34. KW 2023;NÖ;I;1;0;0;1;3;5
34. KW 2023;NÖ;N;38;1;0;1;111;147
34. KW 2023;OÖ;I;1;0;0;2;6;9
34. KW 2023;OÖ;N;29;0;0;1;125;154
34. KW 2023;SBG;I;0;1;0;0;8;9
34. KW 2023;SBG;N;17;0;0;0;42;58
34. KW 2023;ST;I;2;0;0;0;7;9
34. KW 2023;ST;N;35;0;1;0;142;173
34. KW 2023;T;I;1;0;0;1;7;9
34. KW 2023;T;N;13;0;0;0;95;108
34. KW 2023;V;I;0;0;0;0;1;1
34. KW 2023;V;N;6;0;0;2;40;47
34. KW 2023;W;I;3;0;0;0;13;15
34. KW 2023;W;N;48;0;2;2;100;146
35. KW 2023;BGL;I;0;0;0;0;0;0
35. KW 2023;BGL;N;10;0;0;0;26;36
35. KW 2023;KTN;I;0;0;1;0;3;4
35. KW 2023;KTN;N;17;0;0;0;48;65
35. KW 2023;NÖ;I;1;0;0;0;7;8
35. KW 2023;NÖ;N;37;0;0;1;109;143
35. KW 2023;OÖ;I;2;0;0;0;9;11
35. KW 2023;OÖ;N;35;0;1;1;125;154
35. KW 2023;SBG;I;0;0;0;0;3;3
35. KW 2023;SBG;N;15;0;1;0;55;68
35. KW 2023;ST;I;4;0;0;0;9;12
35. KW 2023;ST;N;32;1;0;1;125;157
35. KW 2023;T;I;0;0;0;0;4;4
35. KW 2023;T;N;19;0;0;2;73;92
35. KW 2023;V;I;0;0;0;0;1;1
35. KW 2023;V;N;9;0;0;0;27;34
35. KW 2023;W;I;4;0;0;0;11;15
35. KW 2023;W;N;45;0;0;1;119;159
36. KW 2023;BGL;I;0;0;0;0;3;3
36. KW 2023;BGL;N;8;0;0;0;30;36
36. KW 2023;KTN;I;1;0;0;0;3;4
36. KW 2023;KTN;N;32;0;0;1;72;100
36. KW 2023;NÖ;I;2;0;0;0;5;6
36. KW 2023;NÖ;N;57;1;0;1;113;167
36. KW 2023;OÖ;I;3;0;0;0;4;7
36. KW 2023;OÖ;N;52;0;2;0;132;183
36. KW 2023;SBG;I;1;0;0;1;7;9
36. KW 2023;SBG;N;18;0;0;0;55;70
36. KW 2023;ST;I;1;0;0;1;4;6
36. KW 2023;ST;N;33;0;1;1;133;164
36. KW 2023;T;I;0;0;0;0;8;8
36. KW 2023;T;N;26;0;1;2;78;104
36. KW 2023;V;I;0;0;0;0;0;0
36. KW 2023;V;N;11;0;0;1;30;41
36. KW 2023;W;I;2;0;0;0;6;8
36. KW 2023;W;N;55;0;0;2;143;195
37. KW 2023;BGL;I;2;0;0;0;3;5
37. KW 2023;BGL;N;14;0;0;0;27;39
37. KW 2023;KTN;I;0;0;0;0;3;3
37. KW 2023;KTN;N;30;0;0;0;100;129
37. KW 2023;NÖ;I;2;0;0;0;1;3
37. KW 2023;NÖ;N;53;0;0;0;134;183
37. KW 2023;OÖ;I;3;0;0;0;9;12
37. KW 2023;OÖ;N;44;0;1;2;149;195
37. KW 2023;SBG;I;1;0;0;0;5;5
37. KW 2023;SBG;N;20;0;0;0;58;76
37. KW 2023;ST;I;2;0;0;0;10;11
37. KW 2023;ST;N;43;0;0;1;148;190
37. KW 2023;T;I;1;0;0;1;7;9
37. KW 2023;T;N;28;1;0;2;65;92
37. KW 2023;V;I;1;0;0;0;5;6
37. KW 2023;V;N;6;1;1;4;44;54
37. KW 2023;W;I;3;0;0;0;13;16
37. KW 2023;W;N;75;2;0;1;170;239
38. KW 2023;BGL;I;0;0;0;0;2;2
38. KW 2023;BGL;N;14;0;0;1;39;53
38. KW 2023;KTN;I;0;0;0;0;3;3
38. KW 2023;KTN;N;25;0;0;1;70;95
38. KW 2023;NÖ;I;3;0;0;1;5;9
38. KW 2023;NÖ;N;67;1;0;2;143;207
38. KW 2023;OÖ;I;1;0;0;0;9;9
38. KW 2023;OÖ;N;55;0;0;0;146;198
38. KW 2023;SBG;I;3;0;0;0;3;5
38. KW 2023;SBG;N;22;0;0;1;41;63
38. KW 2023;ST;I;7;0;0;0;14;19
38. KW 2023;ST;N;42;0;0;0;144;181
38. KW 2023;T;I;1;0;0;0;2;3
38. KW 2023;T;N;26;0;0;4;97;125
38. KW 2023;V;I;1;0;0;0;1;2
38. KW 2023;V;N;10;0;0;3;46;55
38. KW 2023;W;I;4;0;0;0;6;10
38. KW 2023;W;N;74;2;0;1;152;220
39. KW 2023;BGL;I;2;0;0;0;2;3
39. KW 2023;BGL;N;19;0;0;0;22;39
39. KW 2023;KTN;I;1;0;0;1;3;5
39. KW 2023;KTN;N;33;1;0;4;94;125
39. KW 2023;NÖ;I;3;0;0;1;4;7
39. KW 2023;NÖ;N;54;0;0;0;125;173
39. KW 2023;OÖ;I;4;0;0;1;10;15
39. KW 2023;OÖ;N;74;0;1;4;154;222
39. KW 2023;SBG;I;0;0;0;1;4;5
39. KW 2023;SBG;N;42;0;0;3;56;95
39. KW 2023;ST;I;3;0;0;0;7;10
39. KW 2023;ST;N;74;0;0;2;168;238
39. KW 2023;T;I;0;0;0;1;11;12
39. KW 2023;T;N;43;1;1;2;95;138
39. KW 2023;V;I;0;0;0;0;1;1
39. KW 2023;V;N;10;0;0;2;40;51
39. KW 2023;W;I;5;0;0;1;13;17
39. KW 2023;W;N;65;2;2;3;152;220
40. KW 2023;BGL;I;1;0;0;0;2;3
40. KW 2023;BGL;N;22;0;0;0;28;43
40. KW 2023;KTN;I;0;0;0;1;5;6
40. KW 2023;KTN;N;31;0;0;3;91;122
40. KW 2023;NÖ;I;2;0;0;0;6;7
40. KW 2023;NÖ;N;83;0;0;4;139;214
40. KW 2023;OÖ;I;7;0;0;1;5;11
40. KW 2023;OÖ;N;89;0;0;4;164;248
40. KW 2023;SBG;I;3;0;0;0;3;5
40. KW 2023;SBG;N;45;0;0;2;67;107
40. KW 2023;ST;I;6;0;0;1;9;15
40. KW 2023;ST;N;71;0;1;0;153;221
40. KW 2023;T;I;0;0;0;0;10;10
40. KW 2023;T;N;59;0;1;4;101;158
40. KW 2023;V;I;2;0;0;0;2;4
40. KW 2023;V;N;18;0;0;2;47;65
40. KW 2023;W;I;4;0;0;0;19;22
40. KW 2023;W;N;78;1;1;2;151;227
41. KW 2023;BGL;I;2;0;0;0;1;3
41. KW 2023;BGL;N;17;0;1;0;37;50
41. KW 2023;KTN;I;0;0;0;1;4;5
41. KW 2023;KTN;N;40;0;0;2;73;113
41. KW 2023;NÖ;I;1;0;0;0;4;5
41. KW 2023;NÖ;N;104;0;0;1;148;244
41. KW 2023;OÖ;I;4;0;0;0;10;14
41. KW 2023;OÖ;N;129;0;2;5;158;284
41. KW 2023;SBG;I;0;0;0;0;4;4
41. KW 2023;SBG;N;41;0;0;0;53;93
41. KW 2023;ST;I;8;0;0;2;16;23
41. KW 2023;ST;N;96;0;0;1;172;259
41. KW 2023;T;I;0;0;0;0;3;3
41. KW 2023;T;N;62;0;0;1;102;158
41. KW 2023;V;I;1;0;0;0;5;6
41. KW 2023;V;N;7;0;0;2;53;62
41. KW 2023;W;I;3;0;0;2;6;11
41. KW 2023;W;N;100;1;0;2;167;257
42. KW 2023;BGL;I;0;0;0;0;0;0
42. KW 2023;BGL;N;28;0;0;2;36;60
42. KW 2023;KTN;I;0;0;0;0;3;3
42. KW 2023;KTN;N;55;0;0;1;102;152
42. KW 2023;NÖ;I;1;0;0;0;7;8
42. KW 2023;NÖ;N;129;0;0;2;174;285
42. KW 2023;OÖ;I;2;1;0;0;14;16
42. KW 2023;OÖ;N;140;1;0;2;184;315
42. KW 2023;SBG;I;5;0;0;0;3;8
42. KW 2023;SBG;N;39;0;1;4;61;100
42. KW 2023;ST;I;6;0;0;1;12;19
42. KW 2023;ST;N;84;1;1;3;161;237
42. KW 2023;T;I;2;0;0;0;4;6
42. KW 2023;T;N;93;1;0;2;120;196
42. KW 2023;V;I;0;0;0;0;1;1
