KW;BUNDESLAND;STATION;COVID;INFLUENZA;RSV;PNEUMOKOKKEN;SONSTIGE;AUFNAHMEN
49. KW 2023;KTN;I;3;0;0;0;6;8
49. KW 2023;KTN;N;117;4;4;4;87;195
49. KW 2023;NÖ;I;12;0;0;0;6;17
49. KW 2023;NÖ;N;266;11;8;4;162;411
49. KW 2023;OÖ;I;11;1;0;1;10;20
49. KW 2023;OÖ;N;284;5;6;9;194;465
49. KW 2023;SBG;I;4;2;0;0;7;12
49. KW 2023;SBG;N;116;1;6;0;63;176
49. KW 2023;ST;I;11;1;0;0;9;20
49. KW 2023;ST;N;255;16;2;2;204;451
49. KW 2023;T;I;1;0;2;0;12;14
49. KW 2023;T;N;112;2;2;0;128;230
49. KW 2023;V;I;2;0;0;0;3;5
49. KW 2023;V;N;65;3;7;5;64;132
49. KW 2023;W;I;8;3;0;1;7;16
49. KW 2023;W;N;200;22;15;1;179;390
50. KW 2023;BGL;I;3;0;0;0;1;4
50. KW 2023;BGL;N;72;3;0;0;38;102
50. KW 2023;KTN;I;2;0;0;1;1;4
50. KW 2023;KTN;N;104;10;6;2;118;214
50. KW 2023;NÖ;I;9;0;0;0;15;22
50. KW 2023;NÖ;N;251;10;6;7;156;395
50. KW 2023;OÖ;I;9;0;0;0;7;16
50. KW 2023;OÖ;N;294;16;11;2;218;502
50. KW 2023;SBG;I;4;1;2;2;10;18
50. KW 2023;SBG;N;100;4;11;2;70;175
50. KW 2023;ST;I;12;0;0;0;9;20
50. KW 2023;ST;N;243;17;12;2;236;481
50. KW 2023;T;I;9;0;0;0;8;14
50. KW 2023;T;N;133;6;12;2;116;257
50. KW 2023;V;I;2;0;0;0;4;5
50. KW 2023;V;N;60;2;16;6;56;124
50. KW 2023;W;I;11;0;1;1;22;33
50. KW 2023;W;N;245;32;21;6;198;466
51. KW 2023;BGL;I;2;0;0;0;1;3
51. KW 2023;BGL;N;54;5;2;0;51;105
51. KW 2023;KTN;I;3;0;1;0;7;11
51. KW 2023;KTN;N;105;22;11;2;90;214
51. KW 2023;NÖ;I;5;4;0;1;3;13
51. KW 2023;NÖ;N;247;23;9;0;165;409
51. KW 2023;OÖ;I;12;1;0;0;9;20
51. KW 2023;OÖ;N;260;33;22;1;232;495
51. KW 2023;SBG;I;8;1;0;0;8;15
51. KW 2023;SBG;N;102;6;4;3;81;178
51. KW 2023;ST;I;7;1;0;1;13;20
51. KW 2023;ST;N;237;8;11;2;255;490
51. KW 2023;T;I;4;1;0;0;5;10
51. KW 2023;T;N;109;15;22;3;132;263
51. KW 2023;V;I;2;1;0;1;4;8
51. KW 2023;V;N;49;6;15;9;47;121
51. KW 2023;W;I;15;5;2;2;19;38
51. KW 2023;W;N;206;52;44;4;194;463
52. KW 2023;BGL;I;4;0;0;0;2;5
52. KW 2023;BGL;N;60;2;4;0;58;110
52. KW 2023;KTN;I;1;1;0;0;1;3
52. KW 2023;KTN;N;96;25;13;2;137;253
52. KW 2023;NÖ;I;9;1;0;1;5;16
52. KW 2023;NÖ;N;218;39;10;6;216;456
52. KW 2023;OÖ;I;9;4;0;1;17;28
52. KW 2023;OÖ;N;198;44;52;5;256;525
52. KW 2023;SBG;I;3;3;0;0;13;19
52. KW 2023;SBG;N;63;18;26;3;84;181
52. KW 2023;ST;I;11;3;2;1;15;29
52. KW 2023;ST;N;216;31;30;3;315;552
52. KW 2023;T;I;6;0;1;0;8;12
52. KW 2023;T;N;116;26;41;7;171;334
52. KW 2023;V;I;3;1;0;0;8;8
52. KW 2023;V;N;46;19;21;12;77;161
52. KW 2023;W;I;7;2;3;1;14;26
52. KW 2023;W;N;184;68;54;5;243;504
1. KW 2024;BGL;I;0;0;1;0;1;2
1. KW 2024;BGL;N;37;2;2;2;65;97
1. KW 2024;KTN;I;1;1;0;0;5;7
1. KW 2024;KTN;N;59;26;14;8;149;241
1. KW 2024;NÖ;I;4;3;0;0;10;15
1. KW 2024;NÖ;N;128;49;20;7;245;417
1. KW 2024;OÖ;I;2;2;5;0;9;18
1. KW 2024;OÖ;N;152;45;62;14;258;492
1. KW 2024;SBG;I;5;2;0;0;6;13
1. KW 2024;SBG;N;57;23;17;4;100;191
1. KW 2024;ST;I;9;1;1;0;26;36
1. KW 2024;ST;N;153;27;48;5;272;470
1. KW 2024;T;I;2;2;1;1;11;15
1. KW 2024;T;N;64;41;45;8;146;290
1. KW 2024;V;I;4;1;0;1;3;7
1. KW 2024;V;N;33;14;29;9;61;136
1. KW 2024;W;I;2;1;5;0;15;23
1. KW 2024;W;N;121;62;58;6;207;415
2. KW 2024;BGL;I;1;0;0;0;2;3
2. KW 2024;BGL;N;25;3;4;2;42;70
2. KW 2024;KTN;I;1;0;1;0;7;9
2. KW 2024;KTN;N;38;24;11;3;117;180
2. KW 2024;NÖ;I;3;1;0;1;7;12
2. KW 2024;NÖ;N;72;46;24;5;171;299
2. KW 2024;OÖ;I;3;7;1;0;15;24
2. KW 2024;OÖ;N;97;60;39;10;252;430
2. KW 2024;SBG;I;3;1;0;2;11;15
2. KW 2024;SBG;N;34;14;3;1;86;128
2. KW 2024;ST;I;1;2;2;0;12;16
2. KW 2024;ST;N;71;15;40;2;231;341
2. KW 2024;T;I;0;1;0;0;5;6
2. KW 2024;T;N;42;36;30;5;170;272
2. KW 2024;V;I;3;1;0;2;5;8
2. KW 2024;V;N;27;22;14;7;54;115
2. KW 2024;W;I;7;2;3;0;10;22
2. KW 2024;W;N;89;60;37;9;178;358
3. KW 2024;BGL;I;0;0;0;0;1;1
3. KW 2024;BGL;N;19;3;5;0;46;69
3. KW 2024;KTN;I;0;4;0;0;4;6
3. KW 2024;KTN;N;19;36;11;3;130;184
3. KW 2024;NÖ;I;1;3;0;0;10;13
3. KW 2024;NÖ;N;63;72;23;1;180;316
3. KW 2024;OÖ;I;2;3;3;0;12;18
3. KW 2024;OÖ;N;52;68;47;7;289;453
3. KW 2024;SBG;I;2;3;1;0;5;10
3. KW 2024;SBG;N;28;39;7;1;99;163
3. KW 2024;ST;I;0;2;2;0;10;13
3. KW 2024;ST;N;60;18;44;1;248;361
3. KW 2024;T;I;1;4;0;1;8;13
3. KW 2024;T;N;39;81;27;3;184;320
3. KW 2024;V;I;1;0;0;0;4;5
3. KW 2024;V;N;16;20;16;5;54;100
3. KW 2024;W;I;2;7;0;0;12;20
3. KW 2024;W;N;60;89;53;3;197;371
4. KW 2024;BGL;I;1;0;0;0;3;4
4. KW 2024;BGL;N;18;5;10;2;60;88
4. KW 2024;KTN;I;1;3;0;1;6;9
4. KW 2024;KTN;N;21;31;19;2;120;185
4. KW 2024;NÖ;I;0;9;1;0;6;15
4. KW 2024;NÖ;N;43;114;46;1;206;385
4. KW 2024;OÖ;I;2;7;2;1;12;22
4. KW 2024;OÖ;N;40;88;78;8;337;528
4. KW 2024;SBG;I;3;3;2;0;10;18
4. KW 2024;SBG;N;13;55;21;3;86;168
4. KW 2024;ST;I;0;2;4;2;15;23
4. KW 2024;ST;N;36;21;68;2;278;390
4. KW 2024;T;I;3;3;1;1;7;13
4. KW 2024;T;N;35;91;58;3;156;328
4. KW 2024;V;I;0;3;0;1;5;9
4. KW 2024;V;N;4;33;16;6;41;98
4. KW 2024;W;I;3;10;4;1;9;27
4. KW 2024;W;N;59;125;81;6;229;458
5. KW 2024;BGL;I;0;0;0;0;2;2
5. KW 2024;BGL;N;12;7;7;1;72;91
5. KW 2024;KTN;I;1;3;0;0;3;6
5. KW 2024;KTN;N;15;36;16;2;129;191
5. KW 2024;NÖ;I;1;3;0;0;7;11
5. KW 2024;NÖ;N;40;140;61;6;224;442
5. KW 2024;OÖ;I;3;6;3;1;18;28
5. KW 2024;OÖ;N;39;138;81;7;349;582
5. KW 2024;SBG;I;0;3;1;0;14;18
5. KW 2024;SBG;N;16;42;29;0;114;188
5. KW 2024;ST;I;2;4;5;2;16;26
5. KW 2024;ST;N;33;35;86;4;299;441
5. KW 2024;T;I;0;4;1;0;6;10
5. KW 2024;T;N;20;75;55;3;170;306
5. KW 2024;V;I;0;4;1;2;3;7
5. KW 2024;V;N;10;46;12;7;76;147
5. KW 2024;W;I;0;10;2;1;12;23
5. KW 2024;W;N;37;114;81;8;246;449
6. KW 2024;BGL;I;0;1;0;1;2;3
6. KW 2024;BGL;N;4;15;13;1;83;109
6. KW 2024;KTN;I;1;1;1;0;7;9
6. KW 2024;KTN;N;13;38;10;1;131;187
6. KW 2024;NÖ;I;0;11;3;0;8;22
6. KW 2024;NÖ;N;24;131;79;4;235;450
6. KW 2024;OÖ;I;2;4;0;0;14;19
6. KW 2024;OÖ;N;29;97;80;11;294;493
6. KW 2024;SBG;I;1;4;1;0;15;21
6. KW 2024;SBG;N;13;41;34;4;94;171
6. KW 2024;ST;I;0;1;1;2;19;22
6. KW 2024;ST;N;21;42;76;3;341;468
6. KW 2024;T;I;0;4;3;1;8;14
6. KW 2024;T;N;19;75;59;5;178;321
6. KW 2024;V;I;2;4;2;0;5;11
6. KW 2024;V;N;5;48;13;5;61;125
6. KW 2024;W;I;2;7;2;1;14;23
6. KW 2024;W;N;21;107;95;6;230;431
7. KW 2024;BGL;I;0;2;1;0;2;4
7. KW 2024;BGL;N;5;11;12;2;47;70
7. KW 2024;KTN;I;0;4;0;0;3;7
7. KW 2024;KTN;N;4;43;12;1;102;155
7. KW 2024;NÖ;I;3;9;1;0;6;17
7. KW 2024;NÖ;N;19;76;43;7;204;336
7. KW 2024;OÖ;I;0;4;0;1;7;12
7. KW 2024;OÖ;N;21;68;63;6;293;436
7. KW 2024;SBG;I;1;4;0;0;16;19
7. KW 2024;SBG;N;11;29;16;7;75;127
7. KW 2024;ST;I;1;1;5;0;16;22
7. KW 2024;ST;N;18;28;78;8;308;428
7. KW 2024;T;I;1;5;1;0;6;13
7. KW 2024;T;N;12;42;59;7;132;241
7. KW 2024;V;I;0;1;0;0;3;4
7. KW 2024;V;N;3;23;11;3;63;98
7. KW 2024;W;I;2;6;5;0;20;33
7. KW 2024;W;N;32;61;69;2;240;370
8. KW 2024;BGL;I;2;2;1;0;3;7
8. KW 2024;BGL;N;5;7;15;1;49;75
8. KW 2024;KTN;I;2;1;0;0;2;4
8. KW 2024;KTN;N;1;26;7;3;123;157
8. KW 2024;NÖ;I;0;2;1;1;5;8
8. KW 2024;NÖ;N;23;44;41;3;205;301
8. KW 2024;OÖ;I;2;5;0;1;9;17
8. KW 2024;OÖ;N;23;28;56;4;224;322
8. KW 2024;SBG;I;1;1;1;0;8;11
8. KW 2024;SBG;N;8;17;14;1;84;119
8. KW 2024;ST;I;0;0;1;0;17;18
8. KW 2024;ST;N;9;28;58;7;248;336
8. KW 2024;T;I;1;2;2;1;4;10
8. KW 2024;T;N;8;24;42;2;140;207
8. KW 2024;V;I;0;0;0;0;5;5
8. KW 2024;V;N;6;20;9;4;62;98
8. KW 2024;W;I;1;2;3;3;12;20
8. KW 2024;W;N;14;36;45;3;211;292
9. KW 2024;BGL;I;0;0;0;0;1;1
9. KW 2024;BGL;N;6;5;10;1;38;54
9. KW 2024;KTN;I;0;0;0;1;3;4
9. KW 2024;KTN;N;5;22;5;1;107;137
9. KW 2024;NÖ;I;1;1;1;0;8;11
9. KW 2024;NÖ;N;7;22;29;2;198;250
9. KW 2024;OÖ;I;1;2;0;0;10;13
9. KW 2024;OÖ;N;17;15;39;8;204;275
9. KW 2024;SBG;I;0;1;2;0;4;6
9. KW 2024;SBG;N;5;10;9;1;84;105
9. KW 2024;ST;I;0;0;1;1;8;10
9. KW 2024;ST;N;7;12;41;0;202;258
9. KW 2024;T;I;0;2;2;0;7;11
9. KW 2024;T;N;5;20;23;6;126;178
9. KW 2024;V;I;0;0;0;1;6;7
9. KW 2024;V;N;3;14;12;6;37;68
9. KW 2024;W;I;1;1;1;1;6;10
9. KW 2024;W;N;13;24;35;2;185;248
10. KW 2024;BGL;I;0;0;0;0;3;3
10. KW 2024;BGL;N;1;2;3;0;30;35
10. KW 2024;KTN;I;0;2;1;1;6;9
10. KW 2024;KTN;N;3;13;5;1;102;123
10. KW 2024;NÖ;I;0;0;1;0;11;11
10. KW 2024;NÖ;N;9;16;33;2;173;226
10. KW 2024;OÖ;I;0;0;0;0;9;9
10. KW 2024;OÖ;N;16;11;31;4;202;258
10. KW 2024;SBG;I;1;0;1;1;8;10
10. KW 2024;SBG;N;7;9;6;3;72;90
10. KW 2024;ST;I;1;1;2;0;16;19
10. KW 2024;ST;N;5;3;39;1;183;224
10. KW 2024;T;I;1;1;0;0;8;10
10. KW 2024;T;N;4;14;20;5;145;181
10. KW 2024;V;I;0;1;0;0;3;4
10. KW 2024;V;N;3;4;9;2;53;68
10. KW 2024;W;I;3;4;1;0;12;19
10. KW 2024;W;N;11;19;32;5;230;279
11. KW 2024;BGL;I;0;0;0;0;3;3
11. KW 2024;BGL;N;3;2;6;0;47;55
11. KW 2024;KTN;I;0;0;0;1;3;4
11. KW 2024;KTN;N;4;10;7;2;115;135
11. KW 2024;NÖ;I;0;1;1;1;5;7
11. KW 2024;NÖ;N;7;9;19;2;195;224
11. KW 2024;OÖ;I;0;0;0;2;6;8
11. KW 2024;OÖ;N;17;9;15;4;173;210
11. KW 2024;SBG;I;0;1;0;1;4;5
11. KW 2024;SBG;N;5;3;8;2;64;81
11. KW 2024;ST;I;0;0;0;0;10;10
11. KW 2024;ST;N;6;6;31;4;175;219
11. KW 2024;T;I;0;0;1;1;8;9
11. KW 2024;T;N;3;8;14;5;113;142
11. KW 2024;V;I;0;0;0;0;1;1
11. KW 2024;V;N;4;4;6;4;46;62
11. KW 2024;W;I;0;1;1;0;18;19
11. KW 2024;W;N;15;11;16;4;188;222
12. KW 2024;BGL;I;1;0;0;0;1;2
12. KW 2024;BGL;N;1;1;4;2;41;48
12. KW 2024;KTN;I;0;0;0;0;2;2
12. KW 2024;KTN;N;4;9;8;3;110;130
12. KW 2024;NÖ;I;0;0;0;0;9;9
12. KW 2024;NÖ;N;9;12;10;1;173;199
12. KW 2024;OÖ;I;0;0;1;0;4;5
12. KW 2024;OÖ;N;10;2;7;4;205;225
12. KW 2024;SBG;I;0;2;0;0;6;8
12. KW 2024;SBG;N;3;4;6;3;67;79
12. KW 2024;ST;I;2;0;1;1;8;12
12. KW 2024;ST;N;5;5;22;2;180;208
12. KW 2024;T;I;1;1;0;0;5;6
12. KW 2024;T;N;7;6;9;4;106;130
12. KW 2024;V;I;0;0;0;0;2;2
12. KW 2024;V;N;4;3;6;3;52;68
12. KW 2024;W;I;0;1;0;1;12;14
12. KW 2024;W;N;10;3;11;1;179;199
13. KW 2024;BGL;I;0;0;0;0;0;0
13. KW 2024;BGL;N;2;0;1;0;47;50
13. KW 2024;KTN;I;0;0;0;0;7;7
13. KW 2024;KTN;N;4;4;1;6;108;119
13. KW 2024;NÖ;I;0;0;0;0;6;6
13. KW 2024;NÖ;N;4;9;9;3;175;196
13. KW 2024;OÖ;I;2;2;0;2;7;13
13. KW 2024;OÖ;N;16;5;4;5;166;193
13. KW 2024;SBG;I;0;0;0;1;4;5
13. KW 2024;SBG;N;3;2;9;1;74;88
13. KW 2024;ST;I;0;0;2;1;9;12
13. KW 2024;ST;N;6;3;18;4;206;236
13. KW 2024;T;I;1;0;1;1;8;11
13. KW 2024;T;N;6;5;8;8;125;150
13. KW 2024;V;I;0;0;0;1;4;5
13. KW 2024;V;N;0;2;4;4;35;45
13. KW 2024;W;I;0;1;1;0;11;13
13. KW 2024;W;N;6;2;13;3;201;218
14. KW 2024;BGL;I;0;0;0;0;0;0
14. KW 2024;BGL;N;1;0;1;1;47;50
14. KW 2024;KTN;I;0;0;0;0;2;2
14. KW 2024;KTN;N;2;4;1;1;113;121
14. KW 2024;NÖ;I;0;0;1;1;6;8
14. KW 2024;NÖ;N;9;1;6;5;203;220
14. KW 2024;OÖ;I;0;0;0;0;6;6
14. KW 2024;OÖ;N;11;5;6;8;203;229
14. KW 2024;SBG;I;0;0;0;1;11;12
14. KW 2024;SBG;N;2;1;0;3;57;62
14. KW 2024;ST;I;0;0;1;0;10;11
14. KW 2024;ST;N;8;1;10;2;177;198
14. KW 2024;T;I;0;1;2;1;4;7
14. KW 2024;T;N;2;0;7;2;140;151
14. KW 2024;V;I;0;0;0;0;3;3
14. KW 2024;V;N;1;0;2;4;66;73
14. KW 2024;W;I;1;0;0;0;13;14
14. KW 2024;W;N;8;5;5;5;178;197
15. KW 2024;BGL;I;0;0;0;0;2;2
15. KW 2024;BGL;N;1;0;0;1;41;43
15. KW 2024;KTN;I;1;0;0;0;2;3
15. KW 2024;KTN;N;2;1;3;3;83;91
15. KW 2024;NÖ;I;0;0;0;0;9;9
15. KW 2024;NÖ;N;3;4;3;1;197;206
15. KW 2024;OÖ;I;0;0;0;0;8;8
15. KW 2024;OÖ;N;4;3;1;2;190;199
15. KW 2024;SBG;I;0;0;0;0;5;5
15. KW 2024;SBG;N;1;1;0;2;64;68
15. KW 2024;ST;I;2;0;0;0;7;9
15. KW 2024;ST;N;6;2;4;4;170;185
15. KW 2024;T;I;0;0;1;0;9;10
15. KW 2024;T;N;4;1;1;4;122;130
15. KW 2024;V;I;0;0;0;0;0;0
15. KW 2024;V;N;1;0;5;5;45;54
15. KW 2024;W;I;0;0;0;0;12;12
15. KW 2024;W;N;12;3;2;1;172;187
16. KW 2024;BGL;I;0;0;0;0;3;3
16. KW 2024;BGL;N;0;0;1;1;35;37
16. KW 2024;KTN;I;0;0;0;0;5;5
16. KW 2024;KTN;N;1;2;2;0;85;88
16. KW 2024;NÖ;I;0;0;0;0;5;5
16. KW 2024;NÖ;N;5;4;2;2;170;183
16. KW 2024;OÖ;I;0;0;0;0;14;14
16. KW 2024;OÖ;N;10;2;4;6;164;183
16. KW 2024;SBG;I;0;0;0;0;1;1
16. KW 2024;SBG;N;4;0;0;0;70;74
16. KW 2024;ST;I;0;0;0;1;16;17
16. KW 2024;ST;N;6;0;6;4;164;179
16. KW 2024;T;I;0;1;0;0;3;4
16. KW 2024;T;N;3;1;2;5;108;119
16. KW 2024;V;I;0;0;0;0;2;2
16. KW 2024;V;N;1;0;1;3;44;49
16. KW 2024;W;I;0;0;0;0;11;11
16. KW 2024;W;N;14;1;4;1;177;193
17. KW 2024;BGL;I;0;0;0;0;0;0
17. KW 2024;BGL;N;2;0;0;0;42;44
17. KW 2024;KTN;I;0;0;0;0;4;4
17. KW 2024;KTN;N;1;1;0;3;85;90
17. KW 2024;NÖ;I;0;0;0;0;5;5
17. KW 2024;NÖ;N;6;1;0;4;190;200
17. KW 2024;OÖ;I;0;0;0;0;5;5
17. KW 2024;OÖ;N;7;1;2;5;176;190
17. KW 2024;SBG;I;0;0;0;0;2;2
17. KW 2024;SBG;N;4;0;0;1;62;64
17. KW 2024;ST;I;0;0;0;0;10;10
17. KW 2024;ST;N;4;1;3;3;164;174
17. KW 2024;T;I;0;0;0;0;8;8
17. KW 2024;T;N;3;1;4;5;117;128
17. KW 2024;V;I;0;0;0;0;3;3
17. KW 2024;V;N;0;0;0;4;39;43
17. KW 2024;W;I;1;0;0;1;12;14
17. KW 2024;W;N;3;1;3;1;172;177
18. KW 2024;BGL;I;0;0;0;0;2;2
18. KW 2024;BGL;N;0;0;0;1;34;35
18. KW 2024;KTN;I;0;0;0;0;4;4
18. KW 2024;KTN;N;1;0;0;1;100;102
18. KW 2024;NÖ;I;1;0;0;1;5;7
18. KW 2024;NÖ;N;4;3;0;2;191;200
18. KW 2024;OÖ;I;0;0;0;1;6;7
18. KW 2024;OÖ;N;6;0;1;4;177;186
18. KW 2024;SBG;I;0;0;0;0;7;7
18. KW 2024;SBG;N;4;2;0;1;60;67
18. KW 2024;ST;I;0;0;0;1;6;7
18. KW 2024;ST;N;6;0;1;5;175;186
18. KW 2024;T;I;1;1;0;0;8;10
18. KW 2024;T;N;6;3;1;5;132;147
18. KW 2024;V;I;0;0;0;1;2;3
18. KW 2024;V;N;1;1;0;8;50;60
18. KW 2024;W;I;0;0;0;3;9;11
18. KW 2024;W;N;9;2;0;0;180;188
19. KW 2024;BGL;I;0;0;0;0;3;3
19. KW 2024;BGL;N;0;0;0;0;40;40
19. KW 2024;KTN;I;0;0;0;1;5;6
19. KW 2024;KTN;N;5;0;0;0;89;93
19. KW 2024;NÖ;I;0;1;0;0;4;5
19. KW 2024;NÖ;N;3;0;1;4;165;173
19. KW 2024;OÖ;I;0;0;0;0;7;7
19. KW 2024;OÖ;N;8;3;1;6;185;202
19. KW 2024;SBG;I;1;0;0;0;8;9
19. KW 2024;SBG;N;1;1;0;1;62;64
19. KW 2024;ST;I;0;0;0;1;14;15
19. KW 2024;ST;N;5;0;1;4;152;162
19. KW 2024;T;I;0;0;0;1;1;2
19. KW 2024;T;N;4;0;1;2;98;104
19. KW 2024;V;I;0;0;0;0;0;0
19. KW 2024;V;N;4;0;0;2;45;51
19. KW 2024;W;I;1;0;0;0;12;12
19. KW 2024;W;N;10;1;2;1;178;191
20. KW 2024;BGL;I;0;0;0;0;1;1
20. KW 2024;BGL;N;0;0;0;0;34;34
20. KW 2024;KTN;I;0;0;0;0;6;6
20. KW 2024;KTN;N;2;1;0;1;82;85
20. KW 2024;NÖ;I;0;0;0;0;5;5
20. KW 2024;NÖ;N;3;1;0;2;189;193
20. KW 2024;OÖ;I;0;0;0;0;3;3
20. KW 2024;OÖ;N;4;2;1;7;155;168
20. KW 2024;SBG;I;0;0;0;0;6;6
20. KW 2024;SBG;N;2;0;1;1;63;67
20. KW 2024;ST;I;0;0;0;2;9;11
20. KW 2024;ST;N;2;0;2;3;167;173
20. KW 2024;T;I;0;0;0;0;5;5
20. KW 2024;T;N;4;1;1;4;106;116
20. KW 2024;V;I;0;0;0;0;3;3
20. KW 2024;V;N;1;1;0;2;40;43
20. KW 2024;W;I;1;0;0;0;16;17
20. KW 2024;W;N;8;1;0;0;156;164
21. KW 2024;BGL;I;0;0;0;0;0;0
21. KW 2024;BGL;N;0;0;0;0;29;29
21. KW 2024;KTN;I;0;0;0;0;4;4
21. KW 2024;KTN;N;0;0;0;2;98;100
21. KW 2024;NÖ;I;0;0;0;0;4;4
21. KW 2024;NÖ;N;6;0;0;2;179;185
21. KW 2024;OÖ;I;0;0;0;0;5;5
21. KW 2024;OÖ;N;5;1;0;5;156;167
21. KW 2024;SBG;I;0;1;0;0;4;5
21. KW 2024;SBG;N;1;0;0;1;42;44
21. KW 2024;ST;I;0;0;0;1;11;12
21. KW 2024;ST;N;4;0;0;0;143;146
21. KW 2024;T;I;0;0;0;0;6;6
21. KW 2024;T;N;6;0;1;4;84;94
21. KW 2024;V;I;0;0;0;1;6;7
21. KW 2024;V;N;0;0;1;2;42;44
21. KW 2024;W;I;0;0;0;1;10;11
21. KW 2024;W;N;7;1;0;1;151;160
22. KW 2024;BGL;I;0;0;0;0;0;0
22. KW 2024;BGL;N;1;0;0;0;43;44
22. KW 2024;KTN;I;1;0;0;0;6;6
22. KW 2024;KTN;N;1;0;0;2;80;83
22. KW 2024;NÖ;I;0;0;0;0;4;4
22. KW 2024;NÖ;N;7;1;0;2;145;153
22. KW 2024;OÖ;I;0;0;0;1;8;9
22. KW 2024;OÖ;N;10;0;0;0;151;160
22. KW 2024;SBG;I;1;0;0;0;2;2
22. KW 2024;SBG;N;4;1;1;2;64;69
22. KW 2024;ST;I;0;0;0;0;9;9
22. KW 2024;ST;N;10;0;0;2;132;142
22. KW 2024;T;I;0;0;0;1;2;3
22. KW 2024;T;N;7;1;0;2;114;124
22. KW 2024;V;I;0;0;0;1;1;2
22. KW 2024;V;N;2;0;0;2;41;45
22. KW 2024;W;I;0;0;0;0;14;14
22. KW 2024;W;N;7;1;0;3;138;148
23. KW 2024;BGL;I;0;0;0;0;0;0
23. KW 2024;BGL;N;0;0;0;1;39;40
23. KW 2024;KTN;I;0;0;0;0;2;2
23. KW 2024;KTN;N;3;0;0;0;93;96
23. KW 2024;NÖ;I;0;0;0;0;6;6
23. KW 2024;NÖ;N;11;0;0;3;162;174
23. KW 2024;OÖ;I;1;0;0;0;14;14
23. KW 2024;OÖ;N;13;0;2;2;184;196
23. KW 2024;SBG;I;0;0;0;0;4;4
23. KW 2024;SBG;N;7;2;0;2;57;66
23. KW 2024;ST;I;0;0;0;0;8;8
23. KW 2024;ST;N;6;0;0;0;157;163
23. KW 2024;T;I;0;0;0;1;6;7
23. KW 2024;T;N;8;1;0;2;114;124
23. KW 2024;V;I;0;0;0;0;4;4
23. KW 2024;V;N;0;0;0;3;46;49
23. KW 2024;W;I;1;0;0;3;19;23
23. KW 2024;W;N;13;2;0;3;155;171
24. KW 2024;BGL;I;0;0;0;0;0;0
24. KW 2024;BGL;N;2;0;0;1;33;36
24. KW 2024;KTN;I;0;0;0;0;3;3
24. KW 2024;KTN;N;4;0;0;2;80;84
24. KW 2024;NÖ;I;0;0;0;0;4;4
24. KW 2024;NÖ;N;7;0;0;1;178;185
24. KW 2024;OÖ;I;0;0;0;1;7;8
24. KW 2024;OÖ;N;12;1;1;3;171;187
24. KW 2024;SBG;I;0;0;0;1;3;4
24. KW 2024;SBG;N;8;0;0;0;51;59
24. KW 2024;ST;I;0;0;0;0;13;13
24. KW 2024;ST;N;6;0;0;2;137;144
24. KW 2024;T;I;0;0;0;0;7;7
24. KW 2024;T;N;8;0;0;1;102;109
24. KW 2024;V;I;0;0;0;0;5;5
24. KW 2024;V;N;1;0;1;0;40;42
24. KW 2024;W;I;1;0;0;2;17;20
24. KW 2024;W;N;18;0;0;4;160;179
25. KW 2024;BGL;I;0;0;0;0;2;2
25. KW 2024;BGL;N;0;0;0;0;38;38
25. KW 2024;KTN;I;0;0;0;0;2;2
25. KW 2024;KTN;N;12;0;0;2;77;88
25. KW 2024;NÖ;I;0;0;0;0;1;1
25. KW 2024;NÖ;N;20;2;0;2;166;185
25. KW 2024;OÖ;I;0;0;0;1;9;10
25. KW 2024;OÖ;N;16;1;0;2;168;183
25. KW 2024;SBG;I;0;0;0;0;4;4
25. KW 2024;SBG;N;11;0;0;1;60;71
25. KW 2024;ST;I;2;0;0;1;10;12
25. KW 2024;ST;N;13;0;2;0;158;171
25. KW 2024;T;I;0;0;0;0;5;5
25. KW 2024;T;N;12;0;0;1;109;120
25. KW 2024;V;I;0;0;0;1;6;7
25. KW 2024;V;N;4;0;0;1;40;44
25. KW 2024;W;I;1;0;0;1;9;11
25. KW 2024;W;N;12;0;0;1;153;165
26. KW 2024;BGL;I;0;0;0;0;1;1
26. KW 2024;BGL;N;1;0;0;0;34;35
26. KW 2024;KTN;I;0;0;0;0;1;1
26. KW 2024;KTN;N;2;0;0;0;88;89
26. KW 2024;NÖ;I;1;0;0;0;6;7
26. KW 2024;NÖ;N;18;0;0;2;165;182
26. KW 2024;OÖ;I;0;0;0;1;10;11
26. KW 2024;OÖ;N;11;2;0;2;160;174
26. KW 2024;SBG;I;1;0;0;0;9;10
26. KW 2024;SBG;N;15;0;0;2;64;80
26. KW 2024;ST;I;0;0;0;0;6;6
26. KW 2024;ST;N;10;0;0;0;156;166
26. KW 2024;T;I;2;0;0;0;2;4
26. KW 2024;T;N;11;0;0;2;97;108
26. KW 2024;V;I;0;0;0;0;4;4
26. KW 2024;V;N;3;1;0;3;42;48
26. KW 2024;W;I;3;0;0;0;15;18
26. KW 2024;W;N;23;0;2;2;140;165
27. KW 2024;BGL;I;0;0;0;0;1;1
27. KW 2024;BGL;N;5;0;0;0;37;40
27. KW 2024;KTN;I;1;0;0;0;4;5
27. KW 2024;KTN;N;3;0;0;1;82;85
27. KW 2024;NÖ;I;2;0;0;0;5;7
27. KW 2024;NÖ;N;20;0;0;0;160;178
27. KW 2024;OÖ;I;3;0;0;0;15;17
27. KW 2024;OÖ;N;14;0;0;3;135;151
27. KW 2024;SBG;I;1;0;0;0;5;6
