JAHR;KW;BUNDESLAND;STATION;COVID;INFLUENZA;RSV;PNEUMOKOKKEN;SONSTIGE;AUFNAHMEN
2023;25;T;N;5;0;0;2;100;106
2023;25;V;I;0;0;0;0;1;1
2023;25;V;N;0;0;0;3;23;26
2023;25;W;I;2;0;0;1;17;20
2023;25;W;N;13;1;0;1;129;143
2023;26;BGL;I;0;0;0;0;1;1
2023;26;BGL;N;1;0;0;0;32;33
2023;26;KTN;I;0;0;0;0;3;3
2023;26;KTN;N;5;0;1;1;64;69
2023;26;NÖ;I;0;0;0;0;6;6
2023;26;NÖ;N;10;1;0;1;130;141
2023;26;OÖ;I;0;0;1;0;7;8
2023;26;OÖ;N;9;1;1;1;106;114
2023;26;SBG;I;0;0;0;0;3;3
2023;26;SBG;N;0;0;0;2;40;40
2023;26;ST;I;0;0;0;1;7;8
2023;26;ST;N;8;0;1;1;148;156
2023;26;T;I;0;0;0;0;5;5
2023;26;T;N;2;0;0;0;84;86
2023;26;V;I;0;0;0;0;3;3
2023;26;V;N;0;0;0;2;23;25
2023;26;W;I;0;0;0;0;16;16
2023;26;W;N;7;0;0;2;152;161
2023;27;BGL;I;0;0;0;0;1;1
2023;27;BGL;N;2;0;0;0;25;26
2023;27;KTN;I;0;0;0;0;3;3
2023;27;KTN;N;2;0;0;2;71;75
2023;27;NÖ;I;0;0;0;0;3;3
2023;27;NÖ;N;13;0;0;1;132;142
2023;27;OÖ;I;1;0;0;0;7;8
2023;27;OÖ;N;10;0;1;2;131;142
2023;27;SBG;I;0;0;0;0;2;2
2023;27;SBG;N;6;0;0;1;38;44
2023;27;ST;I;1;0;0;1;10;11
2023;27;ST;N;4;0;0;1;109;114
2023;27;T;I;0;0;0;0;5;5
2023;27;T;N;6;0;0;0;87;90
2023;27;V;I;0;0;0;1;3;4
2023;27;V;N;0;0;0;1;25;26
2023;27;W;I;1;0;0;0;11;12
2023;27;W;N;13;0;1;2;134;150
2023;28;BGL;I;1;0;0;0;1;2
2023;28;BGL;N;3;0;0;0;29;30
2023;28;KTN;I;0;0;0;0;4;4
2023;28;KTN;N;2;0;0;0;59;60
2023;28;NÖ;I;0;0;0;0;3;3
2023;28;NÖ;N;7;0;1;2;144;151
2023;28;OÖ;I;0;0;0;0;6;6
2023;28;OÖ;N;6;1;0;2;126;135
2023;28;SBG;I;1;0;0;0;6;7
2023;28;SBG;N;3;0;0;0;51;54
2023;28;ST;I;0;0;0;0;6;6
2023;28;ST;N;6;0;1;1;131;139
2023;28;T;I;0;0;0;0;3;3
2023;28;T;N;1;0;0;3;84;86
2023;28;V;I;0;0;0;0;4;4
2023;28;V;N;0;0;0;2;26;28
2023;28;W;I;0;0;0;1;10;11
2023;28;W;N;15;1;0;1;124;140
2023;29;BGL;I;0;0;0;0;4;4
2023;29;BGL;N;4;0;0;0;25;29
2023;29;KTN;I;0;0;0;0;1;1
2023;29;KTN;N;2;1;0;1;74;78
2023;29;NÖ;I;0;0;0;0;7;7
2023;29;NÖ;N;8;0;0;2;133;141
2023;29;OÖ;I;0;0;0;0;8;8
2023;29;OÖ;N;7;0;2;1;120;130
2023;29;SBG;I;0;0;0;1;5;6
2023;29;SBG;N;5;0;0;0;46;51
2023;29;ST;I;1;0;0;0;6;7
2023;29;ST;N;5;0;1;2;119;127
2023;29;T;I;0;0;0;1;0;1
2023;29;T;N;2;0;0;1;63;66
2023;29;V;I;1;0;0;0;1;2
2023;29;V;N;2;0;0;2;27;30
2023;29;W;I;3;0;0;0;15;18
2023;29;W;N;8;0;0;1;103;111
2023;30;BGL;I;0;0;0;0;1;1
2023;30;BGL;N;4;0;0;0;32;36
2023;30;KTN;I;1;0;0;0;2;3
2023;30;KTN;N;6;0;0;2;62;69
2023;30;NÖ;I;0;0;0;0;6;6
2023;30;NÖ;N;11;1;0;0;122;132
2023;30;OÖ;I;0;0;0;0;14;14
2023;30;OÖ;N;6;0;0;1;109;115
2023;30;SBG;I;0;0;0;0;1;1
2023;30;SBG;N;4;0;0;1;45;49
2023;30;ST;I;0;0;0;0;6;6
2023;30;ST;N;12;0;1;0;124;136
2023;30;T;I;0;0;0;0;3;3
2023;30;T;N;3;0;0;2;93;97
2023;30;V;I;0;0;0;0;2;2
2023;30;V;N;3;0;0;3;46;50
2023;30;W;I;0;0;0;0;9;9
2023;30;W;N;10;0;0;2;88;99
2023;31;BGL;I;0;0;0;0;0;0
2023;31;BGL;N;2;0;0;0;21;23
2023;31;KTN;I;0;0;0;0;1;1
2023;31;KTN;N;4;0;1;1;55;60
2023;31;NÖ;I;0;0;0;1;3;4
2023;31;NÖ;N;12;1;0;0;108;119
2023;31;OÖ;I;0;0;0;1;5;6
2023;31;OÖ;N;7;1;0;0;116;121
2023;31;SBG;I;0;0;0;0;5;5
2023;31;SBG;N;2;0;0;0;36;38
2023;31;ST;I;0;0;0;0;7;7
2023;31;ST;N;8;0;0;0;120;127
2023;31;T;I;0;0;0;0;6;6
2023;31;T;N;8;0;0;0;84;90
2023;31;V;I;0;0;0;0;2;2
2023;31;V;N;7;0;0;1;30;38
2023;31;W;I;1;0;0;0;14;14
2023;31;W;N;17;0;0;1;100;118
2023;32;BGL;I;0;0;0;0;2;2
2023;32;BGL;N;2;0;0;0;27;29
2023;32;KTN;I;1;0;0;0;6;6
2023;32;KTN;N;12;0;0;1;62;73
2023;32;NÖ;I;0;0;0;0;5;5
2023;32;NÖ;N;18;0;0;1;140;157
2023;32;OÖ;I;0;0;0;0;7;7
2023;32;OÖ;N;18;0;0;1;119;136
2023;32;SBG;I;0;0;0;1;1;2
2023;32;SBG;N;9;0;0;0;53;60
2023;32;ST;I;3;0;0;0;9;12
2023;32;ST;N;22;0;0;0;105;124
2023;32;T;I;0;0;0;0;3;3
2023;32;T;N;11;0;0;1;80;90
2023;32;V;I;0;0;0;0;4;4
2023;32;V;N;2;0;1;3;35;39
2023;32;W;I;2;0;0;1;10;13
2023;32;W;N;31;0;0;0;122;149
2023;33;BGL;I;1;0;0;0;2;2
2023;33;BGL;N;5;0;0;0;22;26
2023;33;KTN;I;0;0;0;0;2;2
2023;33;KTN;N;17;0;0;0;72;85
2023;33;NÖ;I;0;0;0;0;4;4
2023;33;NÖ;N;19;0;0;1;117;134
2023;33;OÖ;I;3;0;0;0;4;7
2023;33;OÖ;N;21;2;0;5;114;137
2023;33;SBG;I;1;1;0;0;2;4
2023;33;SBG;N;10;0;0;0;52;62
2023;33;ST;I;3;0;0;0;5;7
2023;33;ST;N;31;0;1;1;121;151
2023;33;T;I;2;0;0;1;4;7
2023;33;T;N;14;0;0;3;61;77
2023;33;V;I;0;0;0;0;3;3
2023;33;V;N;6;0;0;2;40;48
2023;33;W;I;0;0;0;0;12;12
2023;33;W;N;38;0;0;2;136;171
2023;34;BGL;I;0;0;0;0;2;2
2023;34;BGL;N;7;0;0;0;27;34
2023;34;KTN;I;0;0;0;0;3;3
2023;34;KTN;N;17;0;0;0;66;80
2023;34;NÖ;I;1;0;0;1;3;5
2023;34;NÖ;N;38;1;0;1;111;147
2023;34;OÖ;I;1;0;0;2;6;9
2023;34;OÖ;N;29;0;0;1;125;154
2023;34;SBG;I;0;1;0;0;8;9
2023;34;SBG;N;17;0;0;0;42;58
2023;34;ST;I;2;0;0;0;7;9
2023;34;ST;N;35;0;1;0;142;173
2023;34;T;I;1;0;0;1;7;9
2023;34;T;N;13;0;0;0;95;108
2023;34;V;I;0;0;0;0;1;1
2023;34;V;N;6;0;0;2;40;47
2023;34;W;I;3;0;0;0;13;15
2023;34;W;N;48;0;2;2;100;146
2023;35;BGL;I;0;0;0;0;0;0
2023;35;BGL;N;10;0;0;0;26;36
