KW;WOHNORT;GESCHLECHT;ALTERSGRUPPE;STATION;COVID;INFLUENZA;RSV;SONSTIGE;AUFNAHMEN;BEV_ZAHL
19. KW 2023;BGL;M;0 - 4;I;0;0;0;0;0;6041
19. KW 2023;BGL;M;0 - 4;N;0;0;0;0;0;6041
19. KW 2023;BGL;M;15 - 29;I;0;0;0;0;0;21205
19. KW 2023;BGL;M;15 - 29;N;0;0;0;0;0;21205
19. KW 2023;BGL;M;30 - 44;I;0;0;0;0;0;27093
19. KW 2023;BGL;M;30 - 44;N;0;0;0;1;1;27093
19. KW 2023;BGL;M;45 - 59;I;0;0;0;0;0;33970
19. KW 2023;BGL;M;45 - 59;N;0;0;0;2;2;33970
19. KW 2023;BGL;M;5 - 14;I;0;0;0;0;0;14285
19. KW 2023;BGL;M;5 - 14;N;0;0;0;0;0;14285
19. KW 2023;BGL;M;60 - 69;I;0;0;0;0;0;23073
19. KW 2023;BGL;M;60 - 69;N;0;0;0;5;5;23073
19. KW 2023;BGL;M;70 - 79;I;0;0;0;1;1;14299
19. KW 2023;BGL;M;70 - 79;N;1;0;0;3;4;14299
19. KW 2023;BGL;M;80+;I;0;0;0;0;0;7816
19. KW 2023;BGL;M;80+;N;0;0;0;3;3;7816
19. KW 2023;BGL;W;0 - 4;I;0;0;0;0;0;5757
19. KW 2023;BGL;W;0 - 4;N;0;0;0;2;2;5757
19. KW 2023;BGL;W;15 - 29;I;0;0;0;0;0;19664
19. KW 2023;BGL;W;15 - 29;N;0;0;0;1;1;19664
19. KW 2023;BGL;W;30 - 44;I;0;0;0;0;0;27851
19. KW 2023;BGL;W;30 - 44;N;0;0;0;0;0;27851
19. KW 2023;BGL;W;45 - 59;I;0;0;0;0;0;34998
19. KW 2023;BGL;W;45 - 59;N;0;0;0;1;1;34998
19. KW 2023;BGL;W;5 - 14;I;0;0;0;0;0;13518
19. KW 2023;BGL;W;5 - 14;N;0;0;0;0;0;13518
19. KW 2023;BGL;W;60 - 69;I;0;0;0;0;0;23990
19. KW 2023;BGL;W;60 - 69;N;0;0;0;2;2;23990
19. KW 2023;BGL;W;70 - 79;I;0;0;0;0;0;16066
19. KW 2023;BGL;W;70 - 79;N;0;0;0;3;3;16066
19. KW 2023;BGL;W;80+;I;0;0;0;0;0;12325
19. KW 2023;BGL;W;80+;N;1;0;0;16;16;12325
