JAHR;KW;WOHNORT;GESCHLECHT;ALTERSGRUPPE;STATION;COVID;INFLUENZA;RSV;PNEUMOKOKKEN;SONSTIGE;AUFNAHMEN;BEV_ZAHL
2023;19;BGL;M;0 - 4;I;0;0;0;0;0;0;6203
2023;19;BGL;M;0 - 4;N;0;0;0;0;0;0;6203
2023;19;BGL;M;15 - 29;I;0;0;0;0;0;0;21547
2023;19;BGL;M;15 - 29;N;0;0;0;0;0;0;21547
2023;19;BGL;M;30 - 44;I;0;0;0;0;0;0;27102
2023;19;BGL;M;30 - 44;N;0;0;0;0;1;1;27102
2023;19;BGL;M;45 - 59;I;0;0;0;0;0;0;34423
2023;19;BGL;M;45 - 59;N;0;0;0;0;2;2;34423
2023;19;BGL;M;5 - 14;I;0;0;0;0;0;0;14239
2023;19;BGL;M;5 - 14;N;0;0;0;0;0;0;14239
2023;19;BGL;M;60 - 69;I;0;0;0;0;0;0;22455
2023;19;BGL;M;60 - 69;N;0;0;0;0;5;5;22455
2023;19;BGL;M;70 - 79;I;0;0;0;0;1;1;13780
2023;19;BGL;M;70 - 79;N;1;0;0;0;3;4;13780
2023;19;BGL;M;80+;I;0;0;0;0;0;0;7764
2023;19;BGL;M;80+;N;0;0;0;0;3;3;7764
2023;19;BGL;W;0 - 4;I;0;0;0;0;0;0;5948
2023;19;BGL;W;0 - 4;N;0;0;0;0;2;2;5948
2023;19;BGL;W;15 - 29;I;0;0;0;0;0;0;19925
2023;19;BGL;W;15 - 29;N;0;0;0;0;1;1;19925
2023;19;BGL;W;30 - 44;I;0;0;0;0;0;0;27926
2023;19;BGL;W;30 - 44;N;0;0;0;0;0;0;27926
2023;19;BGL;W;45 - 59;I;0;0;0;0;0;0;35354
2023;19;BGL;W;45 - 59;N;0;0;0;0;1;1;35354
2023;19;BGL;W;5 - 14;I;0;0;0;0;0;0;13488
2023;19;BGL;W;5 - 14;N;0;0;0;0;0;0;13488
2023;19;BGL;W;60 - 69;I;0;0;0;0;0;0;23241
2023;19;BGL;W;60 - 69;N;0;0;0;0;2;2;23241
2023;19;BGL;W;70 - 79;I;0;0;0;0;0;0;15494
2023;19;BGL;W;70 - 79;N;0;0;0;0;4;4;15494
2023;19;BGL;W;80+;I;0;0;0;0;0;0;12361
2023;19;BGL;W;80+;N;1;0;0;0;16;16;12361
2023;19;KTN;M;0 - 4;I;0;0;0;0;1;1;12094
2023;19;KTN;M;0 - 4;N;0;0;0;0;3;3;12094
2023;19;KTN;M;15 - 29;I;0;0;0;0;0;0;44779
2023;19;KTN;M;15 - 29;N;0;0;0;0;0;0;44779
