KW;WOHNORT;GESCHLECHT;ALTERSGRUPPE;STATION;COVID;INFLUENZA;RSV;SONSTIGE;AUFNAHMEN;BEV_ZAHL
19. KW 2023;BGL;1;0 - 4;I;0;0;0;0;0;6203
19. KW 2023;BGL;1;0 - 4;N;0;0;0;0;0;6203
19. KW 2023;BGL;1;15 - 29;I;0;0;0;0;0;21547
19. KW 2023;BGL;1;15 - 29;N;0;0;0;0;0;21547
19. KW 2023;BGL;1;30 - 44;I;0;0;0;0;0;27102
19. KW 2023;BGL;1;30 - 44;N;0;0;0;0;0;27102
19. KW 2023;BGL;1;45 - 59;I;0;0;0;0;0;34423
19. KW 2023;BGL;1;45 - 59;N;0;0;0;0;0;34423
19. KW 2023;BGL;1;5 - 14;I;0;0;0;0;0;14239
19. KW 2023;BGL;1;5 - 14;N;0;0;0;0;0;14239
19. KW 2023;BGL;1;60 - 69;I;0;0;0;0;0;22455
19. KW 2023;BGL;1;60 - 69;N;0;0;0;0;0;22455
19. KW 2023;BGL;1;70 - 79;I;0;0;0;0;0;13780
19. KW 2023;BGL;1;70 - 79;N;0;0;0;0;0;13780
19. KW 2023;BGL;1;80+;I;0;0;0;0;0;7764
19. KW 2023;BGL;1;80+;N;0;0;0;0;0;7764
19. KW 2023;BGL;2;0 - 4;I;0;0;0;0;0;5948
19. KW 2023;BGL;2;0 - 4;N;0;0;0;0;0;5948
19. KW 2023;BGL;2;15 - 29;I;0;0;0;0;0;19925
19. KW 2023;BGL;2;15 - 29;N;0;0;0;0;0;19925
19. KW 2023;BGL;2;30 - 44;I;0;0;0;0;0;27926
19. KW 2023;BGL;2;30 - 44;N;0;0;0;0;0;27926
19. KW 2023;BGL;2;45 - 59;I;0;0;0;0;0;35354
19. KW 2023;BGL;2;45 - 59;N;0;0;0;0;0;35354
19. KW 2023;BGL;2;5 - 14;I;0;0;0;0;0;13488
19. KW 2023;BGL;2;5 - 14;N;0;0;0;0;0;13488
19. KW 2023;BGL;2;60 - 69;I;0;0;0;0;0;23241
19. KW 2023;BGL;2;60 - 69;N;0;0;0;0;0;23241
19. KW 2023;BGL;2;70 - 79;I;0;0;0;0;0;15494
19. KW 2023;BGL;2;70 - 79;N;0;0;0;0;0;15494
19. KW 2023;BGL;2;80+;I;0;0;0;0;0;12361
19. KW 2023;BGL;2;80+;N;0;0;0;0;0;12361
19. KW 2023;KTN;1;0 - 4;I;0;0;0;0;0;12094
19. KW 2023;KTN;1;0 - 4;N;0;0;0;0;0;12094
19. KW 2023;KTN;1;15 - 29;I;0;0;0;0;0;44779
19. KW 2023;KTN;1;15 - 29;N;0;0;0;0;0;44779
19. KW 2023;KTN;1;30 - 44;I;0;0;0;0;0;53429
19. KW 2023;KTN;1;30 - 44;N;0;0;0;0;0;53429
19. KW 2023;KTN;1;45 - 59;I;0;0;0;0;0;62291
19. KW 2023;KTN;1;45 - 59;N;0;0;0;0;0;62291
19. KW 2023;KTN;1;5 - 14;I;0;0;0;0;0;26441
19. KW 2023;KTN;1;5 - 14;N;0;0;0;0;0;26441
19. KW 2023;KTN;1;60 - 69;I;0;0;0;0;0;39936
19. KW 2023;KTN;1;60 - 69;N;0;0;0;0;0;39936
19. KW 2023;KTN;1;70 - 79;I;0;0;0;0;0;24639
19. KW 2023;KTN;1;70 - 79;N;0;0;0;0;0;24639
19. KW 2023;KTN;1;80+;I;0;0;0;0;0;14862
19. KW 2023;KTN;1;80+;N;0;0;0;0;0;14862
19. KW 2023;KTN;2;0 - 4;I;0;0;0;0;0;11441
19. KW 2023;KTN;2;0 - 4;N;0;0;0;0;0;11441
19. KW 2023;KTN;2;15 - 29;I;0;0;0;0;0;40534
19. KW 2023;KTN;2;15 - 29;N;0;0;0;0;0;40534
19. KW 2023;KTN;2;30 - 44;I;0;0;0;0;0;52625
19. KW 2023;KTN;2;30 - 44;N;0;0;0;0;0;52625
19. KW 2023;KTN;2;45 - 59;I;0;0;0;0;0;64051
19. KW 2023;KTN;2;45 - 59;N;0;0;0;0;0;64051
19. KW 2023;KTN;2;5 - 14;I;0;0;0;0;0;25080
19. KW 2023;KTN;2;5 - 14;N;0;0;0;0;0;25080
19. KW 2023;KTN;2;60 - 69;I;0;0;0;0;0;42536
19. KW 2023;KTN;2;60 - 69;N;0;0;0;0;0;42536
19. KW 2023;KTN;2;70 - 79;I;0;0;0;0;0;29804
19. KW 2023;KTN;2;70 - 79;N;0;0;0;0;0;29804
19. KW 2023;KTN;2;80+;I;0;0;0;0;0;24442
19. KW 2023;KTN;2;80+;N;0;0;0;0;0;24442
19. KW 2023;NÖ;1;0 - 4;I;0;0;0;0;0;40264
19. KW 2023;NÖ;1;0 - 4;N;0;0;0;0;0;40264
19. KW 2023;NÖ;1;15 - 29;I;0;0;0;0;0;135847
19. KW 2023;NÖ;1;15 - 29;N;0;0;0;0;0;135847
19. KW 2023;NÖ;1;30 - 44;I;0;0;0;0;0;163927
19. KW 2023;NÖ;1;30 - 44;N;0;0;0;0;0;163927
19. KW 2023;NÖ;1;45 - 59;I;0;0;0;0;0;194009
19. KW 2023;NÖ;1;45 - 59;N;0;0;0;0;0;194009
19. KW 2023;NÖ;1;5 - 14;I;0;0;0;0;0;88232
19. KW 2023;NÖ;1;5 - 14;N;0;0;0;0;0;88232
19. KW 2023;NÖ;1;60 - 69;I;0;0;0;0;0;110830
19. KW 2023;NÖ;1;60 - 69;N;0;0;0;0;0;110830
19. KW 2023;NÖ;1;70 - 79;I;0;0;0;0;0;68295
19. KW 2023;NÖ;1;70 - 79;N;0;0;0;0;0;68295
19. KW 2023;NÖ;1;80+;I;0;0;0;0;0;43827
19. KW 2023;NÖ;1;80+;N;0;0;0;0;0;43827
19. KW 2023;NÖ;2;0 - 4;I;0;0;0;0;0;38530
19. KW 2023;NÖ;2;0 - 4;N;0;0;0;0;0;38530
19. KW 2023;NÖ;2;15 - 29;I;0;0;0;0;0;125900
19. KW 2023;NÖ;2;15 - 29;N;0;0;0;0;0;125900
19. KW 2023;NÖ;2;30 - 44;I;0;0;0;0;0;164127
19. KW 2023;NÖ;2;30 - 44;N;0;0;0;0;0;164127
19. KW 2023;NÖ;2;45 - 59;I;0;0;0;0;0;197835
19. KW 2023;NÖ;2;45 - 59;N;0;0;0;0;0;197835
19. KW 2023;NÖ;2;5 - 14;I;0;0;0;0;0;83246
19. KW 2023;NÖ;2;5 - 14;N;0;0;0;0;0;83246
19. KW 2023;NÖ;2;60 - 69;I;0;0;0;0;0;115695
19. KW 2023;NÖ;2;60 - 69;N;0;0;0;0;0;115695
19. KW 2023;NÖ;2;70 - 79;I;0;0;0;0;0;81215
19. KW 2023;NÖ;2;70 - 79;N;0;0;0;0;0;81215
19. KW 2023;NÖ;2;80+;I;0;0;0;0;0;66594
19. KW 2023;NÖ;2;80+;N;0;0;0;0;0;66594
19. KW 2023;OÖ;1;0 - 4;I;0;0;0;0;0;39341
19. KW 2023;OÖ;1;0 - 4;N;0;0;0;0;0;39341
19. KW 2023;OÖ;1;15 - 29;I;0;0;0;0;0;133825
19. KW 2023;OÖ;1;15 - 29;N;0;0;0;0;0;133825
19. KW 2023;OÖ;1;30 - 44;I;0;0;0;0;0;157183
19. KW 2023;OÖ;1;30 - 44;N;0;0;0;0;0;157183
19. KW 2023;OÖ;1;45 - 59;I;0;0;0;0;0;163750
19. KW 2023;OÖ;1;45 - 59;N;0;0;0;0;0;163750
19. KW 2023;OÖ;1;5 - 14;I;0;0;0;0;0;79609
19. KW 2023;OÖ;1;5 - 14;N;0;0;0;0;0;79609
19. KW 2023;OÖ;1;60 - 69;I;0;0;0;0;0;95341
19. KW 2023;OÖ;1;60 - 69;N;0;0;0;0;0;95341
19. KW 2023;OÖ;1;70 - 79;I;0;0;0;0;0;55199
19. KW 2023;OÖ;1;70 - 79;N;0;0;0;0;0;55199
19. KW 2023;OÖ;1;80+;I;0;0;0;0;0;33695
19. KW 2023;OÖ;1;80+;N;0;0;0;0;0;33695
19. KW 2023;OÖ;2;0 - 4;I;0;0;0;0;0;37266
19. KW 2023;OÖ;2;0 - 4;N;0;0;0;0;0;37266
19. KW 2023;OÖ;2;15 - 29;I;0;0;0;0;0;122614
19. KW 2023;OÖ;2;15 - 29;N;0;0;0;0;0;122614
19. KW 2023;OÖ;2;30 - 44;I;0;0;0;0;0;148425
19. KW 2023;OÖ;2;30 - 44;N;0;0;0;0;0;148425
19. KW 2023;OÖ;2;45 - 59;I;0;0;0;0;0;162516
19. KW 2023;OÖ;2;45 - 59;N;0;0;0;0;0;162516
19. KW 2023;OÖ;2;5 - 14;I;0;0;0;0;0;75111
19. KW 2023;OÖ;2;5 - 14;N;0;0;0;0;0;75111
19. KW 2023;OÖ;2;60 - 69;I;0;0;0;0;0;99157
19. KW 2023;OÖ;2;60 - 69;N;0;0;0;0;0;99157
19. KW 2023;OÖ;2;70 - 79;I;0;0;0;0;0;65521
19. KW 2023;OÖ;2;70 - 79;N;0;0;0;0;0;65521
19. KW 2023;OÖ;2;80+;I;0;0;0;0;0;54272
19. KW 2023;OÖ;2;80+;N;0;0;0;0;0;54272
19. KW 2023;SBG;1;0 - 4;I;0;0;0;0;0;14559
19. KW 2023;SBG;1;0 - 4;N;0;0;0;0;0;14559
19. KW 2023;SBG;1;15 - 29;I;0;0;0;0;0;49514
19. KW 2023;SBG;1;15 - 29;N;0;0;0;0;0;49514
19. KW 2023;SBG;1;30 - 44;I;0;0;0;0;0;58373
19. KW 2023;SBG;1;30 - 44;N;0;0;0;0;0;58373
19. KW 2023;SBG;1;45 - 59;I;0;0;0;0;0;60002
19. KW 2023;SBG;1;45 - 59;N;0;0;0;0;0;60002
19. KW 2023;SBG;1;5 - 14;I;0;0;0;0;0;28141
19. KW 2023;SBG;1;5 - 14;N;0;0;0;0;0;28141
19. KW 2023;SBG;1;60 - 69;I;0;0;0;0;0;33199
19. KW 2023;SBG;1;60 - 69;N;0;0;0;0;0;33199
19. KW 2023;SBG;1;70 - 79;I;0;0;0;0;0;21501
19. KW 2023;SBG;1;70 - 79;N;0;0;0;0;0;21501
19. KW 2023;SBG;1;80+;I;0;0;0;0;0;12901
19. KW 2023;SBG;1;80+;N;0;0;0;0;0;12901
19. KW 2023;SBG;2;0 - 4;I;0;0;0;0;0;13602
19. KW 2023;SBG;2;0 - 4;N;0;0;0;0;0;13602
19. KW 2023;SBG;2;15 - 29;I;0;0;0;0;0;46786
19. KW 2023;SBG;2;15 - 29;N;0;0;0;0;0;46786
19. KW 2023;SBG;2;30 - 44;I;0;0;0;0;0;57406
19. KW 2023;SBG;2;30 - 44;N;0;0;0;0;0;57406
19. KW 2023;SBG;2;45 - 59;I;0;0;0;0;0;62089
19. KW 2023;SBG;2;45 - 59;N;0;0;0;0;0;62089
19. KW 2023;SBG;2;5 - 14;I;0;0;0;0;0;26886
19. KW 2023;SBG;2;5 - 14;N;0;0;0;0;0;26886
19. KW 2023;SBG;2;60 - 69;I;0;0;0;0;0;36905
19. KW 2023;SBG;2;60 - 69;N;0;0;0;0;0;36905
19. KW 2023;SBG;2;70 - 79;I;0;0;0;0;0;26554
19. KW 2023;SBG;2;70 - 79;N;0;0;0;0;0;26554
19. KW 2023;SBG;2;80+;I;0;0;0;0;0;19928
19. KW 2023;SBG;2;80+;N;0;0;0;0;0;19928
19. KW 2023;ST;1;0 - 4;I;0;0;0;0;0;28587
19. KW 2023;ST;1;0 - 4;N;0;0;0;0;0;28587
19. KW 2023;ST;1;15 - 29;I;0;0;0;0;0;107003
19. KW 2023;ST;1;15 - 29;N;0;0;0;0;0;107003
19. KW 2023;ST;1;30 - 44;I;0;0;0;0;0;128845
19. KW 2023;ST;1;30 - 44;N;0;0;0;0;0;128845
19. KW 2023;ST;1;45 - 59;I;0;0;0;0;0;138876
19. KW 2023;ST;1;45 - 59;N;0;0;0;0;0;138876
19. KW 2023;ST;1;5 - 14;I;0;0;0;0;0;59390
19. KW 2023;ST;1;5 - 14;N;0;0;0;0;0;59390
19. KW 2023;ST;1;60 - 69;I;0;0;0;0;0;81587
19. KW 2023;ST;1;60 - 69;N;0;0;0;0;0;81587
19. KW 2023;ST;1;70 - 79;I;0;0;0;0;0;49761
19. KW 2023;ST;1;70 - 79;N;0;0;0;0;0;49761
19. KW 2023;ST;1;80+;I;0;0;0;0;0;31466
19. KW 2023;ST;1;80+;N;0;0;0;0;0;31466
19. KW 2023;ST;2;0 - 4;I;0;0;0;0;0;27516
19. KW 2023;ST;2;0 - 4;N;0;0;0;0;0;27516
19. KW 2023;ST;2;15 - 29;I;0;0;0;0;0;98279
19. KW 2023;ST;2;15 - 29;N;0;0;0;0;0;98279
19. KW 2023;ST;2;30 - 44;I;0;0;0;0;0;122527
19. KW 2023;ST;2;30 - 44;N;0;0;0;0;0;122527
19. KW 2023;ST;2;45 - 59;I;0;0;0;0;0;137720
19. KW 2023;ST;2;45 - 59;N;0;0;0;0;0;137720
19. KW 2023;ST;2;5 - 14;I;0;0;0;0;0;55546
19. KW 2023;ST;2;5 - 14;N;0;0;0;0;0;55546
19. KW 2023;ST;2;60 - 69;I;0;0;0;0;0;86009
19. KW 2023;ST;2;60 - 69;N;0;0;0;0;0;86009
19. KW 2023;ST;2;70 - 79;I;0;0;0;0;0;60569
19. KW 2023;ST;2;70 - 79;N;0;0;0;0;0;60569
19. KW 2023;ST;2;80+;I;0;0;0;0;0;51517
19. KW 2023;ST;2;80+;N;0;0;0;0;0;51517
19. KW 2023;T;1;0 - 4;I;0;0;0;0;0;19426
19. KW 2023;T;1;0 - 4;N;0;0;0;0;0;19426
19. KW 2023;T;1;15 - 29;I;0;0;0;0;0;68738
19. KW 2023;T;1;15 - 29;N;0;0;0;0;0;68738
19. KW 2023;T;1;30 - 44;I;0;0;0;0;0;80055
19. KW 2023;T;1;30 - 44;N;0;0;0;0;0;80055
19. KW 2023;T;1;45 - 59;I;0;0;0;0;0;83366
19. KW 2023;T;1;45 - 59;N;0;0;0;0;0;83366
19. KW 2023;T;1;5 - 14;I;0;0;0;0;0;38244
19. KW 2023;T;1;5 - 14;N;0;0;0;0;0;38244
19. KW 2023;T;1;60 - 69;I;0;0;0;0;0;45032
19. KW 2023;T;1;60 - 69;N;0;0;0;0;0;45032
19. KW 2023;T;1;70 - 79;I;0;0;0;0;0;28179
19. KW 2023;T;1;70 - 79;N;0;0;0;0;0;28179
19. KW 2023;T;1;80+;I;0;0;0;0;0;17597
19. KW 2023;T;1;80+;N;0;0;0;0;0;17597
19. KW 2023;T;2;0 - 4;I;0;0;0;0;0;18343
19. KW 2023;T;2;0 - 4;N;0;0;0;0;0;18343
19. KW 2023;T;2;15 - 29;I;0;0;0;0;0;64358
19. KW 2023;T;2;15 - 29;N;0;0;0;0;0;64358
19. KW 2023;T;2;30 - 44;I;0;0;0;0;0;78747
19. KW 2023;T;2;30 - 44;N;0;0;0;0;0;78747
19. KW 2023;T;2;45 - 59;I;0;0;0;0;0;85089
19. KW 2023;T;2;45 - 59;N;0;0;0;0;0;85089
19. KW 2023;T;2;5 - 14;I;0;0;0;0;0;36114
19. KW 2023;T;2;5 - 14;N;0;0;0;0;0;36114
19. KW 2023;T;2;60 - 69;I;0;0;0;0;0;47861
19. KW 2023;T;2;60 - 69;N;0;0;0;0;0;47861
19. KW 2023;T;2;70 - 79;I;0;0;0;0;0;33698
19. KW 2023;T;2;70 - 79;N;0;0;0;0;0;33698
19. KW 2023;T;2;80+;I;0;0;0;0;0;26457
19. KW 2023;T;2;80+;N;0;0;0;0;0;26457
19. KW 2023;V;1;0 - 4;I;0;0;0;0;0;11185
19. KW 2023;V;1;0 - 4;N;0;0;0;0;0;11185
19. KW 2023;V;1;15 - 29;I;0;0;0;0;0;36552
19. KW 2023;V;1;15 - 29;N;0;0;0;0;0;36552
19. KW 2023;V;1;30 - 44;I;0;0;0;0;0;42070
19. KW 2023;V;1;30 - 44;N;0;0;0;0;0;42070
19. KW 2023;V;1;45 - 59;I;0;0;0;0;0;44152
19. KW 2023;V;1;45 - 59;N;0;0;0;0;0;44152
19. KW 2023;V;1;5 - 14;I;0;0;0;0;0;22093
19. KW 2023;V;1;5 - 14;N;0;0;0;0;0;22093
19. KW 2023;V;1;60 - 69;I;0;0;0;0;0;23065
19. KW 2023;V;1;60 - 69;N;0;0;0;0;0;23065
19. KW 2023;V;1;70 - 79;I;0;0;0;0;0;14368
19. KW 2023;V;1;70 - 79;N;0;0;0;0;0;14368
19. KW 2023;V;1;80+;I;0;0;0;0;0;8705
19. KW 2023;V;1;80+;N;0;0;0;0;0;8705
19. KW 2023;V;2;0 - 4;I;0;0;0;0;0;10440
19. KW 2023;V;2;0 - 4;N;0;0;0;0;0;10440
19. KW 2023;V;2;15 - 29;I;0;0;0;0;0;33321
19. KW 2023;V;2;15 - 29;N;0;0;0;0;0;33321
