Gruppe;Datum;Genkopien pro EW / Tag * 10^6
Vorarlberg;2022-09-01;83.36
Vorarlberg;2022-09-02;84.42
Vorarlberg;2022-09-03;85.23
Vorarlberg;2022-09-04;81.97
Vorarlberg;2022-09-05;82.86
Vorarlberg;2022-09-06;83.9
Vorarlberg;2022-09-07;85.21
Vorarlberg;2022-09-08;86.73
Vorarlberg;2022-09-09;88.49
Vorarlberg;2022-09-10;90.53
Vorarlberg;2022-09-11;92.95
Vorarlberg;2022-09-12;95.84
Vorarlberg;2022-09-13;99.36
Vorarlberg;2022-09-14;103.49
Vorarlberg;2022-09-15;108.16
Vorarlberg;2022-09-16;113.25
Vorarlberg;2022-09-17;118.46
Vorarlberg;2022-09-18;123.71
Vorarlberg;2022-09-19;128.9
Vorarlberg;2022-09-20;134.0
Vorarlberg;2022-09-21;139.14
Vorarlberg;2022-09-22;144.36
Vorarlberg;2022-09-23;149.77
Vorarlberg;2022-09-24;155.47
Vorarlberg;2022-09-25;161.63
Vorarlberg;2022-09-26;168.38
Vorarlberg;2022-09-27;175.75
Vorarlberg;2022-09-28;183.6
Vorarlberg;2022-09-29;191.74
Vorarlberg;2022-09-30;199.81
Vorarlberg;2022-10-01;207.37
Vorarlberg;2022-10-02;214.02
Vorarlberg;2022-10-03;219.58
Vorarlberg;2022-10-04;223.92
Vorarlberg;2022-10-05;227.11
Vorarlberg;2022-10-06;229.05
Vorarlberg;2022-10-07;229.67
Vorarlberg;2022-10-08;228.84
Vorarlberg;2022-10-09;226.45
Vorarlberg;2022-10-10;222.38
Vorarlberg;2022-10-11;216.84
Vorarlberg;2022-10-12;210.25
Vorarlberg;2022-10-13;202.83
Vorarlberg;2022-10-14;194.91
Vorarlberg;2022-10-15;186.63
Vorarlberg;2022-10-16;178.25
Vorarlberg;2022-10-17;169.81
Vorarlberg;2022-10-18;161.54
Vorarlberg;2022-10-19;153.53
Vorarlberg;2022-10-20;145.77
Vorarlberg;2022-10-21;138.32
Vorarlberg;2022-10-22;131.15
Vorarlberg;2022-10-23;124.34
Vorarlberg;2022-10-24;118.06
Vorarlberg;2022-10-25;112.26
Vorarlberg;2022-10-26;106.94
Vorarlberg;2022-10-27;102.07
Vorarlberg;2022-10-28;97.53
Vorarlberg;2022-10-29;93.3
Vorarlberg;2022-10-30;89.43
Vorarlberg;2022-10-31;85.84
Vorarlberg;2022-11-01;82.64
Vorarlberg;2022-11-02;79.8
Vorarlberg;2022-11-03;77.38
Vorarlberg;2022-11-04;75.4
Vorarlberg;2022-11-05;73.92
Vorarlberg;2022-11-06;72.99
Vorarlberg;2022-11-07;72.77
Vorarlberg;2022-11-08;73.33
Vorarlberg;2022-11-09;74.68
Vorarlberg;2022-11-10;76.74
Vorarlberg;2022-11-11;79.29
Vorarlberg;2022-11-12;82.33
Vorarlberg;2022-11-13;85.67
Vorarlberg;2022-11-14;89.43
Vorarlberg;2022-11-15;93.48
Vorarlberg;2022-11-16;97.81
Vorarlberg;2022-11-17;102.27
Vorarlberg;2022-11-18;106.77
Vorarlberg;2022-11-19;111.27
Vorarlberg;2022-11-20;115.64
Vorarlberg;2022-11-21;119.96
Vorarlberg;2022-11-22;124.27
Vorarlberg;2022-11-23;128.57
Vorarlberg;2022-11-24;132.92
Vorarlberg;2022-11-25;137.27
Vorarlberg;2022-11-26;141.55
Vorarlberg;2022-11-27;145.81
Vorarlberg;2022-11-28;149.99
Vorarlberg;2022-11-29;153.87
Vorarlberg;2022-11-30;157.39
Vorarlberg;2022-12-01;160.49
Vorarlberg;2022-12-02;163.24
Vorarlberg;2022-12-03;165.72
Vorarlberg;2022-12-04;168.2
Vorarlberg;2022-12-05;170.71
Vorarlberg;2022-12-06;173.33
Vorarlberg;2022-12-07;176.16
Vorarlberg;2022-12-08;179.02
Vorarlberg;2022-12-09;181.77
Vorarlberg;2022-12-10;184.3
Vorarlberg;2022-12-11;186.41
Vorarlberg;2022-12-12;188.12
Vorarlberg;2022-12-13;189.59
Vorarlberg;2022-12-14;191.09
Vorarlberg;2022-12-15;192.74
Vorarlberg;2022-12-16;194.49
Vorarlberg;2022-12-17;196.19
Vorarlberg;2022-12-18;197.73
Vorarlberg;2022-12-19;198.88
Vorarlberg;2022-12-20;199.37
Vorarlberg;2022-12-21;199.03
Vorarlberg;2022-12-22;197.82
Vorarlberg;2022-12-23;195.81
Vorarlberg;2022-12-24;193.11
Vorarlberg;2022-12-25;189.82
Vorarlberg;2022-12-26;185.88
Vorarlberg;2022-12-27;181.34
Vorarlberg;2022-12-28;176.26
Vorarlberg;2022-12-29;170.68
Vorarlberg;2022-12-30;164.71
Vorarlberg;2022-12-31;158.48
Vorarlberg;2023-01-01;151.98
Vorarlberg;2023-01-02;145.37
Vorarlberg;2023-01-03;138.76
Vorarlberg;2023-01-04;132.37
Vorarlberg;2023-01-05;126.23
Vorarlberg;2023-01-06;120.46
Vorarlberg;2023-01-07;115.09
Vorarlberg;2023-01-08;110.26
Vorarlberg;2023-01-09;106.07
Vorarlberg;2023-01-10;102.44
Vorarlberg;2023-01-11;99.27
Vorarlberg;2023-01-12;96.54
Vorarlberg;2023-01-13;94.2
Vorarlberg;2023-01-14;92.28
Vorarlberg;2023-01-15;90.93
Vorarlberg;2023-01-16;90.2
Vorarlberg;2023-01-17;90.17
Vorarlberg;2023-01-18;90.81
Vorarlberg;2023-01-19;92.01
Vorarlberg;2023-01-20;93.76
Vorarlberg;2023-01-21;95.97
Vorarlberg;2023-01-22;98.73
Vorarlberg;2023-01-23;102.1
Vorarlberg;2023-01-24;106.19
Vorarlberg;2023-01-25;111.01
Vorarlberg;2023-01-26;116.44
Vorarlberg;2023-01-27;122.47
Vorarlberg;2023-01-28;129.11
Vorarlberg;2023-01-29;136.4
Vorarlberg;2023-01-30;144.4
Vorarlberg;2023-01-31;153.17
Vorarlberg;2023-02-01;162.67
Vorarlberg;2023-02-02;172.67
Vorarlberg;2023-02-03;182.9
Vorarlberg;2023-02-04;193.11
Vorarlberg;2023-02-05;203.08
Vorarlberg;2023-02-06;212.51
Vorarlberg;2023-02-07;221.3
Vorarlberg;2023-02-08;229.32
Vorarlberg;2023-02-09;236.43
Vorarlberg;2023-02-10;242.87
Vorarlberg;2023-02-11;248.7
Vorarlberg;2023-02-12;254.13
Vorarlberg;2023-02-13;259.01
Vorarlberg;2023-02-14;263.22
Vorarlberg;2023-02-15;266.53
Vorarlberg;2023-02-16;268.77
Vorarlberg;2023-02-17;270.21
Vorarlberg;2023-02-18;271.08
Vorarlberg;2023-02-19;271.75
Vorarlberg;2023-02-20;272.54
Vorarlberg;2023-02-21;273.77
Vorarlberg;2023-02-22;275.32
Vorarlberg;2023-02-23;277.0
Vorarlberg;2023-02-24;278.39
Vorarlberg;2023-02-25;279.09
Vorarlberg;2023-02-26;278.76
Vorarlberg;2023-02-27;277.18
Vorarlberg;2023-02-28;274.31
Vorarlberg;2023-03-01;270.33
Vorarlberg;2023-03-02;265.44
Vorarlberg;2023-03-03;260.0
Vorarlberg;2023-03-04;254.33
Vorarlberg;2023-03-05;248.83
Vorarlberg;2023-03-06;243.83
Vorarlberg;2023-03-07;239.39
Vorarlberg;2023-03-08;235.57
Vorarlberg;2023-03-09;232.13
Vorarlberg;2023-03-10;228.69
Vorarlberg;2023-03-11;225.06
Vorarlberg;2023-03-12;220.97
Vorarlberg;2023-03-13;216.09
Vorarlberg;2023-03-14;210.35
Vorarlberg;2023-03-15;203.88
Vorarlberg;2023-03-16;196.9
Vorarlberg;2023-03-17;189.69
Vorarlberg;2023-03-18;182.4
Vorarlberg;2023-03-19;175.22
Vorarlberg;2023-03-20;168.19
Vorarlberg;2023-03-21;161.2
Vorarlberg;2023-03-22;154.03
Vorarlberg;2023-03-23;146.63
Vorarlberg;2023-03-24;138.97
Vorarlberg;2023-03-25;131.3
Vorarlberg;2023-03-26;123.87
Vorarlberg;2023-03-27;116.94
Vorarlberg;2023-03-28;110.62
Vorarlberg;2023-03-29;105.02
Vorarlberg;2023-03-30;100.09
Vorarlberg;2023-03-31;95.62
Vorarlberg;2023-04-01;91.67
Vorarlberg;2023-04-02;88.22
Vorarlberg;2023-04-03;85.21
Vorarlberg;2023-04-04;82.56
Vorarlberg;2023-04-05;80.25
Vorarlberg;2023-04-06;78.04
Vorarlberg;2023-04-07;75.86
Vorarlberg;2023-04-08;73.7
Vorarlberg;2023-04-09;71.42
Vorarlberg;2023-04-10;69.08
Vorarlberg;2023-04-11;66.55
Vorarlberg;2023-04-12;63.78
Vorarlberg;2023-04-13;60.86
Vorarlberg;2023-04-14;57.82
Vorarlberg;2023-04-15;54.83
Vorarlberg;2023-04-16;51.96
Vorarlberg;2023-04-17;49.38
Vorarlberg;2023-04-18;47.17
Vorarlberg;2023-04-19;45.17
Vorarlberg;2023-04-20;43.41
Vorarlberg;2023-04-21;41.77
Vorarlberg;2023-04-22;40.2
Vorarlberg;2023-04-23;38.73
Vorarlberg;2023-04-24;37.33
Vorarlberg;2023-04-25;35.93
Vorarlberg;2023-04-26;34.58
Vorarlberg;2023-04-27;33.15
Vorarlberg;2023-04-28;31.7
Vorarlberg;2023-04-29;30.28
Vorarlberg;2023-04-30;28.87
Vorarlberg;2023-05-01;27.55
Vorarlberg;2023-05-02;26.38
Vorarlberg;2023-05-03;25.32
Vorarlberg;2023-05-04;24.46
Vorarlberg;2023-05-05;23.76
Vorarlberg;2023-05-06;23.2
Vorarlberg;2023-05-07;22.79
Vorarlberg;2023-05-08;22.58
Vorarlberg;2023-05-09;22.53
Vorarlberg;2023-05-10;22.57
Vorarlberg;2023-05-11;22.75
Vorarlberg;2023-05-12;23.0
Vorarlberg;2023-05-13;23.36
Vorarlberg;2023-05-14;23.75
Vorarlberg;2023-05-15;24.27
Vorarlberg;2023-05-16;24.81
Vorarlberg;2023-05-17;25.35
Vorarlberg;2023-05-18;25.83
Vorarlberg;2023-05-19;26.19
Vorarlberg;2023-05-20;26.43
Vorarlberg;2023-05-21;26.44
Vorarlberg;2023-05-22;26.14
Vorarlberg;2023-05-23;25.58
Vorarlberg;2023-05-24;24.79
Vorarlberg;2023-05-25;23.87
Vorarlberg;2023-05-26;22.86
Vorarlberg;2023-05-27;21.81
Vorarlberg;2023-05-28;20.68
Vorarlberg;2023-05-29;19.55
Vorarlberg;2023-05-30;18.43
Vorarlberg;2023-05-31;17.32
Vorarlberg;2023-06-01;16.22
Vorarlberg;2023-06-02;15.18
Vorarlberg;2023-06-03;14.2
Vorarlberg;2023-06-04;13.27
Vorarlberg;2023-06-05;12.33
Vorarlberg;2023-06-06;11.56
Vorarlberg;2023-06-07;10.83
Vorarlberg;2023-06-08;10.14
Vorarlberg;2023-06-09;9.47
Vorarlberg;2023-06-10;8.91
Vorarlberg;2023-06-11;8.34
Vorarlberg;2023-06-12;7.88
Vorarlberg;2023-06-13;7.43
Vorarlberg;2023-06-14;7.11
Vorarlberg;2023-06-15;6.77
Vorarlberg;2023-06-16;6.47
Vorarlberg;2023-06-17;6.19
Vorarlberg;2023-06-18;5.93
Vorarlberg;2023-06-19;5.64
Vorarlberg;2023-06-20;5.4
Vorarlberg;2023-06-21;5.12
Vorarlberg;2023-06-22;4.83
Vorarlberg;2023-06-23;4.61
Vorarlberg;2023-06-24;4.39
Vorarlberg;2023-06-25;4.21
Vorarlberg;2023-06-26;4.1
Vorarlberg;2023-06-27;4.03
Vorarlberg;2023-06-28;4.06
Vorarlberg;2023-06-29;4.1
Vorarlberg;2023-06-30;4.22
Vorarlberg;2023-07-01;4.37
Vorarlberg;2023-07-02;4.58
Vorarlberg;2023-07-03;4.83
Vorarlberg;2023-07-04;5.07
Vorarlberg;2023-07-05;5.41
Vorarlberg;2023-07-06;5.74
Vorarlberg;2023-07-07;6.11
Vorarlberg;2023-07-08;6.49
Vorarlberg;2023-07-09;6.84
Vorarlberg;2023-07-10;7.18
Vorarlberg;2023-07-11;7.52
Vorarlberg;2023-07-12;7.77
Vorarlberg;2023-07-13;7.96
Vorarlberg;2023-07-14;8.12
Vorarlberg;2023-07-15;8.23
Vorarlberg;2023-07-16;8.42
Vorarlberg;2023-07-17;8.69
Vorarlberg;2023-07-18;9.04
Vorarlberg;2023-07-19;9.53
Vorarlberg;2023-07-20;10.12
Vorarlberg;2023-07-21;10.82
Vorarlberg;2023-07-22;11.65
Vorarlberg;2023-07-23;12.61
Vorarlberg;2023-07-24;13.73
Vorarlberg;2023-07-25;15.04
Vorarlberg;2023-07-26;16.46
Vorarlberg;2023-07-27;18.02
Vorarlberg;2023-07-28;19.68
Vorarlberg;2023-07-29;21.5
Vorarlberg;2023-07-30;23.42
Vorarlberg;2023-07-31;25.5
Vorarlberg;2023-08-01;27.7
Vorarlberg;2023-08-02;29.94
Vorarlberg;2023-08-03;32.24
Vorarlberg;2023-08-04;34.56
Vorarlberg;2023-08-05;36.87
Vorarlberg;2023-08-06;39.15
Vorarlberg;2023-08-07;41.44
Vorarlberg;2023-08-08;43.62
Vorarlberg;2023-08-09;45.63
Vorarlberg;2023-08-10;47.46
Vorarlberg;2023-08-11;48.91
Vorarlberg;2023-08-12;50.06
Vorarlberg;2023-08-13;50.82
Vorarlberg;2023-08-14;51.24
Vorarlberg;2023-08-15;51.22
Vorarlberg;2023-08-16;50.8
Vorarlberg;2023-08-17;50.09
Vorarlberg;2023-08-18;49.09
Vorarlberg;2023-08-19;47.96
Vorarlberg;2023-08-20;46.83
Vorarlberg;2023-08-21;45.74
Vorarlberg;2023-08-22;44.71
Vorarlberg;2023-08-23;43.76
Vorarlberg;2023-08-24;43.0
Vorarlberg;2023-08-25;42.41
Vorarlberg;2023-08-26;42.04
Vorarlberg;2023-08-27;42.13
Vorarlberg;2023-08-28;42.71
Vorarlberg;2023-08-29;43.85
Vorarlberg;2023-08-30;45.6
Vorarlberg;2023-08-31;47.8
Vorarlberg;2023-09-01;50.34
Vorarlberg;2023-09-02;53.19
Vorarlberg;2023-09-03;56.17
Vorarlberg;2023-09-04;59.28
Vorarlberg;2023-09-05;62.43
Vorarlberg;2023-09-06;65.55
Vorarlberg;2023-09-07;68.64
Vorarlberg;2023-09-08;71.51
Vorarlberg;2023-09-09;74.11
Vorarlberg;2023-09-10;76.32
Vorarlberg;2023-09-11;77.97
Vorarlberg;2023-09-12;79.04
Vorarlberg;2023-09-13;79.58
Vorarlberg;2023-09-14;79.75
Vorarlberg;2023-09-15;79.81
Vorarlberg;2023-09-16;79.86
Vorarlberg;2023-09-17;80.14
Vorarlberg;2023-09-18;80.76
Vorarlberg;2023-09-19;81.86
Vorarlberg;2023-09-20;83.43
Vorarlberg;2023-09-21;85.49
Vorarlberg;2023-09-22;87.89
Vorarlberg;2023-09-23;90.63
Vorarlberg;2023-09-24;93.54
Vorarlberg;2023-09-25;96.53
Vorarlberg;2023-09-26;99.26
Vorarlberg;2023-09-27;101.58
Vorarlberg;2023-09-28;103.37
Vorarlberg;2023-09-29;104.75
Vorarlberg;2023-09-30;105.94
Vorarlberg;2023-10-01;107.24
Vorarlberg;2023-10-02;108.76
Vorarlberg;2023-10-03;110.71
Vorarlberg;2023-10-04;112.96
Vorarlberg;2023-10-05;115.41
Vorarlberg;2023-10-06;117.95
Vorarlberg;2023-10-07;120.55
Vorarlberg;2023-10-08;123.17
Vorarlberg;2023-10-09;125.75
Vorarlberg;2023-10-10;128.28
Vorarlberg;2023-10-11;130.98
Vorarlberg;2023-10-12;133.82
Vorarlberg;2023-10-13;136.88
Vorarlberg;2023-10-14;140.22
Vorarlberg;2023-10-15;143.81
Vorarlberg;2023-10-16;147.67
Vorarlberg;2023-10-17;151.77
Vorarlberg;2023-10-18;156.14
Vorarlberg;2023-10-19;160.68
Vorarlberg;2023-10-20;165.38
Vorarlberg;2023-10-21;170.25
Vorarlberg;2023-10-22;175.44
Vorarlberg;2023-10-23;181.05
Vorarlberg;2023-10-24;187.15
Vorarlberg;2023-10-25;193.74
Vorarlberg;2023-10-26;200.74
Vorarlberg;2023-10-27;208.14
Vorarlberg;2023-10-28;216.1
Vorarlberg;2023-10-29;224.97
Vorarlberg;2023-10-30;234.9
Vorarlberg;2023-10-31;246.02
Vorarlberg;2023-11-01;258.18
Vorarlberg;2023-11-02;271.13
Vorarlberg;2023-11-03;284.6
Vorarlberg;2023-11-04;298.29
Vorarlberg;2023-11-05;312.05
Vorarlberg;2023-11-06;325.71
Vorarlberg;2023-11-07;339.07
Vorarlberg;2023-11-08;352.06
Vorarlberg;2023-11-09;364.6
Vorarlberg;2023-11-10;376.75
