Gruppe;Datum;Genkopien pro EW / Tag * 10^6
Vorarlberg;2022-09-01;83.36
Vorarlberg;2022-09-02;84.34
Vorarlberg;2022-09-03;85.26
Vorarlberg;2022-09-04;82.04
Vorarlberg;2022-09-05;82.9
Vorarlberg;2022-09-06;83.97
Vorarlberg;2022-09-07;85.29
Vorarlberg;2022-09-08;86.81
Vorarlberg;2022-09-09;88.58
Vorarlberg;2022-09-10;90.59
Vorarlberg;2022-09-11;93.02
Vorarlberg;2022-09-12;95.92
Vorarlberg;2022-09-13;99.44
Vorarlberg;2022-09-14;103.6
Vorarlberg;2022-09-15;108.29
Vorarlberg;2022-09-16;113.35
Vorarlberg;2022-09-17;118.55
Vorarlberg;2022-09-18;123.78
Vorarlberg;2022-09-19;128.96
Vorarlberg;2022-09-20;134.1
Vorarlberg;2022-09-21;139.23
Vorarlberg;2022-09-22;144.43
Vorarlberg;2022-09-23;149.81
Vorarlberg;2022-09-24;155.54
Vorarlberg;2022-09-25;161.65
Vorarlberg;2022-09-26;168.4
Vorarlberg;2022-09-27;175.71
Vorarlberg;2022-09-28;183.58
Vorarlberg;2022-09-29;191.68
Vorarlberg;2022-09-30;199.73
Vorarlberg;2022-10-01;207.24
Vorarlberg;2022-10-02;213.88
Vorarlberg;2022-10-03;219.4
Vorarlberg;2022-10-04;223.72
Vorarlberg;2022-10-05;226.86
Vorarlberg;2022-10-06;228.81
Vorarlberg;2022-10-07;229.44
Vorarlberg;2022-10-08;228.6
Vorarlberg;2022-10-09;226.19
Vorarlberg;2022-10-10;222.15
Vorarlberg;2022-10-11;216.66
Vorarlberg;2022-10-12;210.07
Vorarlberg;2022-10-13;202.68
Vorarlberg;2022-10-14;194.81
Vorarlberg;2022-10-15;186.58
Vorarlberg;2022-10-16;178.21
Vorarlberg;2022-10-17;169.79
Vorarlberg;2022-10-18;161.56
Vorarlberg;2022-10-19;153.54
Vorarlberg;2022-10-20;145.79
Vorarlberg;2022-10-21;138.38
Vorarlberg;2022-10-22;131.2
Vorarlberg;2022-10-23;124.47
Vorarlberg;2022-10-24;118.16
Vorarlberg;2022-10-25;112.35
Vorarlberg;2022-10-26;107.02
Vorarlberg;2022-10-27;102.18
Vorarlberg;2022-10-28;97.64
Vorarlberg;2022-10-29;93.4
Vorarlberg;2022-10-30;89.53
Vorarlberg;2022-10-31;85.92
Vorarlberg;2022-11-01;82.74
Vorarlberg;2022-11-02;79.89
Vorarlberg;2022-11-03;77.48
Vorarlberg;2022-11-04;75.48
Vorarlberg;2022-11-05;74.02
Vorarlberg;2022-11-06;73.11
Vorarlberg;2022-11-07;72.88
Vorarlberg;2022-11-08;73.45
Vorarlberg;2022-11-09;74.81
Vorarlberg;2022-11-10;76.82
Vorarlberg;2022-11-11;79.41
Vorarlberg;2022-11-12;82.4
Vorarlberg;2022-11-13;85.77
Vorarlberg;2022-11-14;89.46
Vorarlberg;2022-11-15;93.54
Vorarlberg;2022-11-16;97.84
Vorarlberg;2022-11-17;102.33
Vorarlberg;2022-11-18;106.82
Vorarlberg;2022-11-19;111.29
Vorarlberg;2022-11-20;115.67
