Gruppe;Datum;Genkopien pro EW / Tag * 10^6
Vorarlberg;2022-09-01;83.36
Vorarlberg;2022-09-02;84.34
Vorarlberg;2022-09-03;85.23
Vorarlberg;2022-09-04;82.14
Vorarlberg;2022-09-05;83.0
Vorarlberg;2022-09-06;84.06
Vorarlberg;2022-09-07;85.3
Vorarlberg;2022-09-08;86.83
Vorarlberg;2022-09-09;88.57
Vorarlberg;2022-09-10;90.6
Vorarlberg;2022-09-11;93.01
Vorarlberg;2022-09-12;95.93
Vorarlberg;2022-09-13;99.41
Vorarlberg;2022-09-14;103.57
Vorarlberg;2022-09-15;108.27
Vorarlberg;2022-09-16;113.31
Vorarlberg;2022-09-17;118.55
Vorarlberg;2022-09-18;123.78
Vorarlberg;2022-09-19;128.97
Vorarlberg;2022-09-20;134.08
Vorarlberg;2022-09-21;139.22
Vorarlberg;2022-09-22;144.44
Vorarlberg;2022-09-23;149.83
Vorarlberg;2022-09-24;155.5
Vorarlberg;2022-09-25;161.65
Vorarlberg;2022-09-26;168.36
Vorarlberg;2022-09-27;175.72
Vorarlberg;2022-09-28;183.57
Vorarlberg;2022-09-29;191.7
Vorarlberg;2022-09-30;199.77
Vorarlberg;2022-10-01;207.31
Vorarlberg;2022-10-02;213.96
Vorarlberg;2022-10-03;219.48
Vorarlberg;2022-10-04;223.83
Vorarlberg;2022-10-05;227.01
Vorarlberg;2022-10-06;228.94
Vorarlberg;2022-10-07;229.55
Vorarlberg;2022-10-08;228.76
Vorarlberg;2022-10-09;226.32
Vorarlberg;2022-10-10;222.27
Vorarlberg;2022-10-11;216.77
Vorarlberg;2022-10-12;210.17
Vorarlberg;2022-10-13;202.78
Vorarlberg;2022-10-14;194.83
Vorarlberg;2022-10-15;186.6
Vorarlberg;2022-10-16;178.23
Vorarlberg;2022-10-17;169.81
Vorarlberg;2022-10-18;161.55
Vorarlberg;2022-10-19;153.54
Vorarlberg;2022-10-20;145.8
Vorarlberg;2022-10-21;138.34
Vorarlberg;2022-10-22;131.19
Vorarlberg;2022-10-23;124.39
Vorarlberg;2022-10-24;118.08
Vorarlberg;2022-10-25;112.3
Vorarlberg;2022-10-26;106.98
Vorarlberg;2022-10-27;102.11
Vorarlberg;2022-10-28;97.57
Vorarlberg;2022-10-29;93.36
Vorarlberg;2022-10-30;89.45
Vorarlberg;2022-10-31;85.87
Vorarlberg;2022-11-01;82.65
Vorarlberg;2022-11-02;79.85
Vorarlberg;2022-11-03;77.42
Vorarlberg;2022-11-04;75.46
Vorarlberg;2022-11-05;73.96
Vorarlberg;2022-11-06;73.05
Vorarlberg;2022-11-07;72.82
Vorarlberg;2022-11-08;73.41
Vorarlberg;2022-11-09;74.73
Vorarlberg;2022-11-10;76.79
Vorarlberg;2022-11-11;79.35
Vorarlberg;2022-11-12;82.39
Vorarlberg;2022-11-13;85.76
Vorarlberg;2022-11-14;89.47
Vorarlberg;2022-11-15;93.49
Vorarlberg;2022-11-16;97.84
Vorarlberg;2022-11-17;102.27
Vorarlberg;2022-11-18;106.79
Vorarlberg;2022-11-19;111.27
Vorarlberg;2022-11-20;115.66
