Kalenderwoche;Sequenzierung pro KW
47;2655
48;2813
49;2490
50;2460
51;2178
52;2094
1;1691
2;1801
3;1526
4;1762
5;2134
6;2165
7;2510
8;2418
9;2730
10;2421
11;2093
12;1771
13;1057
14;844
15;791
16;659
17;531
18;406
19;311
